	ModernC	Change	PPgdp	Frate	Pop	Fertility	Purban
Afghanistan	NA	3.88	98	NA	23897	6.8	22
Albania	NA	0.68	1317	NA	3167	2.28	43
Algeria	49	1.67	1784	7	31800	2.8	58
Am.Samoa	NA	2.37	NA	42	57	NA	53
Andorra	NA	2.59	14234	NA	64	NA	92
Angola	NA	3.2	739	NA	13625	7.2	35
Antigua.and.Barbuda	51	0.53	8461	63	77	NA	37
Argentina	NA	1.17	7163	44	38428	2.44	88
Armenia	22	-0.45	687	51	3061	1.15	67
Aruba	NA	2.02	NA	53	91	NA	51
Australia	72	0.96	18788	55	19730	1.7	91
Austria	43	0.05	23260	49	8116	1.28	67
Azerbaijan	12	0.89	695	43	8370	2.1	52
Bahamas	60	1.13	14856	66	314	2.29	89
Bahrain	31	2.17	12012	19	724	2.66	93
Bangladesh	43	2.02	345	56	146736	3.46	26
Barbados	53	0.35	9255	62	270	1.5	51
Belarus	42	-0.45	1217	53	9896	1.2	70
Belgium	74	0.21	22351	43	10319	1.66	97
Belize	42	2.06	3123	39	256	3.15	48
Benin	3	2.65	361	58	6736	5.66	43
Bermuda	NA	0.7	44579	NA	60	1.67	100
Bhutan	19	2.96	241	NA	2.257	5.02	7
Bolivia	25	1.89	935	60	8808	3.82	63
Bosnia-Herzegovina	NA	1.13	1117	NA	4162	1.3	43
Botswana	32	0.85	2872	48	1785	3.7	49
Brazil	70	1.24	2888	54	178471	2.21	82
Brunei	NA	2.27	12435	46	358	2.48	73
Bulgaria	46	-0.85	1622	46	7896	1.1	67
Burkina.Faso	5	2.95	203	79	13002	6.68	17
Burundi	1	3.1	107	91	6825	6.8	9
Cambodia	19	2.4	233	74	14143	4.77	18
Cameroon	3	1.83	557	NA	16018	4.61	50
Canada	73	0.77	22385	60	31510	1.48	79
Cape.Verde	46	2.01	1259	41	463	3.3	64
Central.African.Rep	3	1.29	242	69	3865	4.92	42
Chad	1	2.96	127	64	8598	6.65	24
Chile	NA	1.23	3992	35	15806	2.35	86
China	83	0.73	918	73	1304196	1.83	37
Hong.Kong	80	1.07	23499	51	7050	1	100
Macao	NA	0.94	14281	58	464	1.1	99
Colombia	64	1.59	1900	57	44222	2.62	75
Comoros	11	2.83	278	NA	768	4.9	34
Congo	NA	2.57	779	NA	3724	6.29	66
Cook.Islands	60	0.16	4388	41	19	3.5	59
Costa.Rica	65	1.93	4148	42	4173	2.28	60
Cote.dIvoire	7	1.62	637	42	16630	4.73	44
Croatia	NA	-0.19	4558	45	4427	1.65	58
Cuba	67	0.27	2545	41	11301	1.55	76
Cyprus	NA	0.76	11449	51	802	1.9	70
Czech.Rep	45	-0.1	5501	51	10235	1.16	75
.Congo	2	2.88	138	NA	52771	6.7	31
Denmark	72	0.24	30265	74	5364	1.77	85
Djibouti	NA	1.58	819	NA	702	5.7	84
Dominica	48	0.29	3367	60	71	NA	71
Dominican.Rep	59	1.49	2500	41	8745	2.71	66
Ecuador	52	1.49	1425	59	13003	2.76	63
Egypt	54	1.99	1390	20	71931	3.29	43
El.Salvador	54	1.55	2189	45	6516	2.88	62
Equatorial.Guinea	NA	2.65	3940	NA	494	5.89	49
Eritrea	4	3.65	177	NA	4141	5.43	19
Estonia	56	-1.1	4010	58	1323	1.22	69
Ethiopia	6	2.46	90	72	70678	6.14	16
Fiji	40	0.98	2046	39	839	2.88	50
Finland	75	0.18	23456	64	5207	1.73	59
France	69	0.47	21990	48	60144	1.89	76
Fr.Guiana	NA	2.53	7737	52	178	3.33	75
