"D" "S" "y" "SPP"
10.0 0.0217509 0 "PB"
10.0 0.0305947 0 "PB"
20.0 0.0345653 0 "PB"
24.0 0.0372670 1 "A"
7.0 0.0398276 0 "PB"
6.0 0.0398276 0 "PB"
6.0 0.0398276 0 "PB"
8.0 0.0398276 0 "PB"
12.0 0.0514511 0 "PB"
15.5 0.0521484 0 "PB"
17.0 0.0521484 0 "PB"
15.0 0.0521484 0 "PB"
16.0 0.0521484 0 "PB"
17.0 0.0547770 0 "A"
12.0 0.0547770 0 "A"
14.0 0.0547770 0 "PB"
22.0 0.0563668 0 "A"
13.0 0.0571445 1 "PB"
14.0 0.0575282 0 "PB"
10.5 0.0575282 0 "PB"
11.5 0.0575282 0 "PB"
21.0 0.0575282 0 "PB"
19.0 0.0575282 0 "PB"
12.0 0.0688740 1 "A"
25.0 0.0688740 1 "A"
25.0 0.0688740 1 "A"
25.0 0.0688740 1 "A"
22.0 0.0697707 0 "A"
10.0 0.0710720 0 "A"
8.0 0.0710720 0 "PB"
8.5 0.0710720 0 "PB"
37.5 0.0712564 0 "A"
5.0 0.0723925 0 "PB"
11.0 0.0726807 1 "PB"
34.0 0.0760489 0 "A"
34.0 0.0780471 0 "A"
51.0 0.0780471 0 "A"
28.0 0.0780471 0 "PB"
38.0 0.0792837 0 "A"
25.0 0.0805133 0 "PB"
9.0 0.0813203 0 "A"
39.0 0.0813203 0 "A"
40.0 0.0813203 0 "A"
36.0 0.0813203 0 "A"
6.0 0.0846147 0 "PB"
5.0 0.0849970 0 "PB"
42.0 0.0868586 1 "A"
5.0 0.0879988 0 "PB"
7.0 0.0879988 0 "PB"
5.0 0.0879988 0 "PB"
21.0 0.0886621 0 "A"
22.0 0.0886621 0 "A"
31.0 0.0886621 0 "A"
28.0 0.0886621 0 "A"
28.0 0.0886621 0 "A"
28.0 0.0886621 0 "A"
14.0 0.0894350 0 "PB"
7.0 0.0894688 0 "PB"
33.0 0.0943459 0 "PB"
17.0 0.0965822 0 "A"
8.0 0.0965822 0 "A"
15.0 0.0974461 0 "PB"
11.0 0.0974461 0 "PB"
14.0 0.0974461 0 "PB"
9.0 0.0974461 0 "PB"
13.0 0.0990518 0 "PB"
15.0 0.0990518 0 "PB"
14.0 0.0990518 0 "PB"
16.0 0.0990518 0 "PB"
10.0 0.0990518 0 "PB"
11.0 0.0990518 0 "PB"
12.0 0.0990518 0 "PB"
10.0 0.0990518 0 "PB"
17.0 0.0990518 0 "PB"
12.0 0.0994145 0 "A"
12.0 0.0994145 0 "A"
12.0 0.0994145 1 "A"
5.0 0.0994145 0 "PB"
7.0 0.0994145 0 "PB"
9.0 0.0994145 0 "PB"
7.0 0.0994145 0 "PB"
8.0 0.0994145 0 "PB"
5.0 0.0994145 0 "PB"
5.0 0.0994145 0 "PB"
6.0 0.0994145 0 "PB"
11.0 0.0994145 0 "PB"
11.0 0.0994145 0 "PB"
18.0 0.0995897 0 "PB"
7.0 0.0998312 0 "PB"
22.0 0.1025400 0 "A"
21.0 0.1025400 1 "A"
