D S y SPP
9.0 0.0217509 0 BA
14.0 0.0217509 0 BA
18.0 0.0217509 0 BA
23.0 0.0217509 0 BA
9.0 0.0217509 0 BA
16.0 0.0217509 0 BA
10.0 0.0217509 0 PB
5.0 0.0242120 0 BA
6.0 0.0242120 0 BA
9.0 0.0242120 0 BA
6.0 0.0242120 0 BA
9.0 0.0242120 0 BA
21.0 0.0242120 0 BA
12.0 0.0242120 0 BA
13.0 0.0242120 0 BA
14.0 0.0242120 0 BA
6.0 0.0242120 0 BA
9.0 0.0242120 0 BF
7.0 0.0278677 0 BA
5.0 0.0278677 0 BA
6.0 0.0278677 0 BA
6.0 0.0278677 0 BA
28.0 0.0278677 0 C
6.0 0.0278677 0 C
11.0 0.0305947 0 BF
9.0 0.0305947 0 BF
35.0 0.0305947 0 C
21.0 0.0305947 0 C
20.0 0.0305947 0 C
25.0 0.0305947 0 C
34.0 0.0305947 0 C
18.0 0.0305947 0 C
14.0 0.0305947 0 C
25.0 0.0305947 0 C
25.0 0.0305947 0 C
28.0 0.0305947 0 C
19.0 0.0305947 0 C
10.0 0.0305947 0 PB
15.0 0.0323448 0 BA
9.0 0.0323448 0 BA
9.0 0.0323448 0 BA
15.0 0.0323448 0 BA
10.0 0.0323448 0 BA
10.0 0.0323448 0 BA
16.0 0.0323448 0 BA
25.0 0.0323448 0 C
16.0 0.0323448 0 C
19.0 0.0323448 0 C
26.0 0.0323448 0 C
31.0 0.0323448 0 C
9.0 0.0341815 0 BF
5.0 0.0341815 0 BF
8.0 0.0341815 0 BF
8.0 0.0341815 0 BF
6.0 0.0341815 0 BF
8.0 0.0341815 0 BF
5.0 0.0341815 0 BF
33.0 0.0341815 0 C
19.0 0.0341815 0 C
37.0 0.0341815 0 JP
22.0 0.0345653 0 BF
20.0 0.0345653 0 PB
24.0 0.0372670 1 A
10.0 0.0372670 0 RM
10.0 0.0372670 1 RM
5.0 0.0398276 0 C
25.0 0.0398276 1 C
5.0 0.0398276 0 C
16.0 0.0398276 0 C
14.0 0.0398276 0 C
16.0 0.0398276 0 C
12.0 0.0398276 0 C
7.0 0.0398276 0 PB
6.0 0.0398276 0 PB
6.0 0.0398276 0 PB
8.0 0.0398276 0 PB
6.0 0.0461334 0 BF
13.0 0.0479708 0 BS
20.0 0.0479708 0 C
22.0 0.0479708 0 C
27.0 0.0479708 0 C
8.0 0.0514511 0 BF
22.0 0.0514511 0 C
21.0 0.0514511 0 C
12.0 0.0514511 0 PB
