"Temp" "Pres" "Fail" "n" "Erosion" "BlowBy" "Damage" "Date"
"1" 66 50 0 6 0 0 0 "4/12/81"
"2" 70 50 1 6 1 0 4 "11/12/81"
"3" 69 50 0 6 0 0 0 "3/22/82"
"5" 68 50 0 6 0 0 0 "11/11/82"
"6" 67 50 0 6 0 0 0 "4/4/83"
"7" 72 50 0 6 0 0 0 "6/18/83"
"8" 73 50 0 6 0 0 0 "8/30/83"
"9" 70 100 0 6 0 0 0 "11/28/83"
"41-B" 57 100 1 6 1 0 4 "2/3/84"
"41-C" 63 200 1 6 1 0 2 "4/6/84"
"41-D" 70 200 1 6 1 0 4 "8/30/84"
"41-G" 78 200 0 6 0 0 0 "10/5/84"
"51-A" 67 200 0 6 0 0 0 "11/8/84"
"51-C" 53 200 2 6 3 2 11 "1/24/85"
"51-D" 67 200 0 6 0 0 0 "4/12/85"
"51-B" 75 200 0 6 0 0 0 "4/29/85"
"51-G" 70 200 0 6 0 0 0 "6/17/85"
"51-F" 81 200 0 6 0 0 0 "7/29/85"
"51-I" 76 200 0 6 0 0 0 "8/27/85"
"51-J" 79 200 0 6 0 0 0 "10/3/85"
"61-A" 75 200 2 6 0 2 4 "10/30/85"
"61-B" 76 200 0 6 0 0 0 "11/26/85"
"61-C" 58 200 1 6 1 0 4 "1/12/86"
