Calving Daysrec CK AST Urea PCV Inflamat Myopathy Outcome
1 1 3000 590 10.9 41 0 NA 1
1 4 12100 1240 23.8 NA NA 1 1
1 0 600 207 8.1 31 1 NA 0
1 1 590 113 14.6 43 NA NA 0
1 2 1800 243 12.3 48 NA 0 0
0 6 380 150 NA 28 1 0 0
1 4 1300 303 3.1 30 1 0 0
1 1 830 93 6.5 37 1 NA 1
1 0 2700 240 9.9 30 NA NA 0
1 1 1800 740 5.8 34 0 1 0
1 4 200 80 5.8 34 1 0 0
0 0 7400 490 5.6 23 0 NA 0
1 2 620 150 7.6 35 1 0 1
1 NA 910 110 12.7 NA NA NA 1
1 1 140 67 8.6 33 NA NA 1
1 2 500 107 5.5 41 1 0 1
1 2 160 83 15.3 31 NA 0 0
1 0 91 213 7.1 27 1 NA 1
1 0 680 90 11.6 19 1 NA 1
1 6 4200 527 9 31 1 1 0
1 1 592 157 10.6 NA 1 NA 0
1 1 2600 480 9.5 32 1 NA 0
1 1 13000 2400 7.5 42 1 1 0
1 2 13000 450 3.9 29 1 1 0
1 1 980 150 6 39 1 0 0
0 3 2600 910 4.2 20 NA 1 0
0 0 11000 313 7.3 NA NA NA 0
0 3 2300 590 6.1 34 1 0 0
1 1 85 NA 10 NA NA NA 1
1 0 286 57 5.6 35 0 NA 1
1 0 130 NA 20.3 49 1 NA 0
1 0 1106 143 11.8 47 0 NA 1
0 0 20 33 8.9 30 1 NA 0
0 8 NA 320 4.5 27 1 NA 0
1 0 71000 2200 21 NA NA 1 0
1 1 820 100 6.3 NA NA NA 1
0 3 521 133 8.5 31 0 0 0
1 0 32670 740 11.8 48 1 1 0
1 0 325 120 14.5 38 1 NA 0
1 2 980 173 4.8 38 NA 0 1
1 1 12886 783 4.1 NA NA 1 0
0 0 8330 957 4.7 NA NA 1 0
1 0 7289 333 5.9 NA NA NA 0
1 0 8057 347 12.9 27 NA NA 0
1 1 3905 203 12.3 37 NA NA 0
1 3 3085 227 7.2 33 1 0 1
0 1 3905 240 1 27 1 NA 0
1 1 1952 210 10.7 NA NA NA 0
1 4 26 53 8.7 NA NA 0 0
0 2 14057 457 4.2 NA NA 1 0
1 0 2668 200 10.4 34 1 NA 0
1 0 130 87 6.7 32 1 NA 1
1 0 260 140 6.5 42 NA NA 1
1 1 20826 1800 12.9 NA NA 1 0
0 0 2323 167 6.1 41 0 NA 1
1 0 790 97 6.3 NA NA NA 0
1 0 590 87 6.7 NA NA NA 1
1 0 35000 1900 5.2 40 NA 1 0
0 2 11975 457 7.6 NA NA 1 0
0 1 1067 93 6.3 NA NA 0 1
1 3 6248 897 11.8 NA NA 1 0
1 2 7419 537 13.8 NA NA 0 0
1 4 1302 453 5 37 1 0 0
0 0 5206 423 6.6 24 1 NA 0
1 0 443 74 9.2 38 0 NA 0
1 3 3300 370 4.2 35 1 0 0
1 0 680 370 6.9 NA NA NA 1
0 8 NA 820 7.2 34 1 1 0
0 2 1100 140 6.6 NA NA 0 1
1 1 1803 127 8.6 NA NA 0 0
1 0 13 43 8 NA NA NA 1
1 0 390 53 9.3 35 1 NA 1
1 2 390 107 9.8 35 0 0 1
1 1 4900 270 8.1 NA NA NA 1
1 1 3449 243 11.7 39 1 0 0
1 0 640 53 5.1 33 1 NA 1
1 2 140 60 6.9 NA NA 0 1
1 1 340 130 8.5 30 NA NA 0
0 0 52 47 7.2 39 0 NA 1
0 0 2700 310 9.8 30 NA NA 0
0 0 230 160 5.6 34 NA NA 1
0 1 36000 440 9.8 51 NA 1 0
0 1 3500 170 3.6 NA NA NA 1
1 3 2206 900 5.1 NA NA 1 1
0 1 1341 80 9.6 33 NA NA 1
0 2 4165 713 7.2 40 NA 1 0
1 0 104 70 6.9 NA NA NA 1
1 4 2500 510 11 40 0 0 0
0 1 2700 150 50 47 NA NA 0
1 0 400 100 6.4 40 NA NA 1
1 0 1692 307 6.3 NA NA NA 1
1 2 21000 150 7.9 NA NA 1 0
0 0 21000 590 7.1 40 0 1 0
0 9 NA 493 5 39 NA NA 0
1 2 32930 683 30 41 1 1 0
0 0 1549 107 11 NA NA NA 0
0 2 3775 163 3 42 0 0 1
1 3 44254 1263 7 NA NA 1 0
1 0 703 93 8.9 NA NA NA 1
1 1 54016 937 26 34 1 1 0
1 2 2603 660 7 31 1 1 0
0 1 5662 437 7.8 NA NA NA 0
1 0 5100 877 6.3 NA NA 1 0
1 1 10673 517 17.2 32 0 NA 0
1 5 1302 187 4.5 32 0 0 1
1 0 716 163 7 42 1 NA 1
1 3 1600 440 6.4 NA NA 0 0
1 1 1367 213 10.5 38 1 NA 1
1 4 1431 430 10 35 1 0 0
1 4 3153 253 4.8 35 1 0 1
1 1 11844 676 20.9 43 0 1 0
1 2 240 143 3 32 0 0 1
1 3 355 123 6 27 1 0 1
1 0 7874 313 10.1 32 0 NA 1
1 0 210 175 21 34 NA NA 0
1 1 3990 312 12 38 0 0 0
1 1 2900 447 14.3 36 NA NA 0
1 0 260 147 8.4 32 NA NA 1
1 3 540 253 4 31 1 0 1
1 1 260 133 7.6 35 1 NA 1
1 2 230 130 15.7 61 1 0 0
1 2 911 180 4.6 36 1 0 0
1 0 960 180 8.9 34 1 NA 1
1 3 1200 180 5.7 33 1 0 0
1 1 790 93 4.8 NA NA 0 0
1 2 2343 220 10.9 NA NA 0 1
1 3 2733 420 5.5 NA NA 0 0
1 2 911 230 9.1 NA NA 0 0
1 2 2670 130 7.2 NA NA 0 0
1 2 1170 107 8.2 NA NA 0 0
0 0 4425 317 6.6 NA NA NA 0
1 1 1302 237 4.6 NA NA NA 1
1 0 1041 527 3.4 NA NA NA 0
1 2 5467 680 19.5 NA NA 1 0
1 2 850 137 8.5 NA NA 0 1
1 0 810 110 8.8 34 0 NA 1
1 4 1600 500 3.5 29 1 0 0
1 0 570 120 7.6 37 0 NA 1
1 1 612 110 9.1 36 0 NA 0
0 0 130 87 4.5 NA NA NA 1
1 4 5700 580 27.8 35 1 0 0
1 0 350 67 3.9 33 1 NA 1
1 0 2864 270 12.7 46 1 NA 0
1 1 2343 130 4.4 36 0 NA 0
0 1 3254 323 4.9 26 1 NA 0
0 0 160 60 4.9 NA NA NA 1
1 0 170 97 5.6 NA NA NA 1
0 3 5100 160 5.4 NA NA 0 1
1 2 4300 320 2.3 NA NA 0 0
1 0 390 80 5.8 33 1 NA 1
1 1 460 97 6.7 38 1 NA 0
1 4 24100 1700 18 NA NA 1 0
1 0 980 73 7.1 NA NA NA 1
1 1 1800 140 4.3 41 1 NA 1
0 1 330 67 3.8 NA NA NA 0
1 0 98 67 6.2 NA 1 NA 1
1 0 72 50 6.3 31 NA NA 1
1 7 260 297 3.8 38 1 0 0
1 7 200 177 4.1 29 1 0 0
1 0 520 157 15.3 43 1 NA 0
1 3 39000 1133 28.8 38 1 1 0
1 2 1822 193 9.5 45 1 0 0
1 0 NA NA NA 48 0 NA 0
1 2 2603 150 10.3 NA NA 0 0
1 5 3644 567 6 29 NA 0 0
1 8 NA 600 5 NA NA NA 0
1 0 2096 120 12.9 NA NA NA 0
0 0 1497 73 21 NA NA NA 1
1 1 350 237 11.5 40 1 NA 0
1 0 905 237 11.1 38 0 NA 0
1 0 436 137 29 41 1 NA 0
1 0 NA 154 NA 37 1 NA 1
1 4 NA 437 4.3 40 1 NA 0
1 1 NA 157 9.4 39 1 NA 0
1 2 9100 193 10.2 38 1 0 0
0 2 677 83 5.4 29 1 0 0
1 0 1041 157 14.6 NA NA NA 1
0 0 202 52 7.1 32 1 NA 0
1 1 16791 720 25.9 44 1 1 0
1 3 5857 773 13 37 1 1 0
1 0 1300 180 10.8 NA NA NA 0
1 1 7810 810 32.5 NA NA 1 0
0 0 1041 160 17.2 26 1 NA 0
1 1 447 90 4.9 29 1 NA 1
1 4 700 277 6.5 NA NA 0 0
1 3 287 133 6.8 NA NA 0 1
0 0 3085 143 6.7 NA NA NA 1
1 2 26020 613 7 NA NA 1 0
1 0 130 100 7.6 40 NA NA 1
1 0 NA NA 23 31 1 NA 1
1 6 1627 600 30.4 NA NA 0 0
1 0 428 116 8.4 NA NA NA 1
1 0 2940 92 11.1 NA NA NA 0
1 1 2900 144 7.7 37 0 0 1
1 7 149 122 3.3 30 NA 0 0
1 1 2880 494 4.8 NA NA NA 0
1 1 5490 245 13.1 NA NA 0 0
1 0 4620 166 11.2 33 1 NA 0
1 2 3620 319 9.5 28 0 0 0
1 1 120 41 6 NA NA NA 1
1 1 3300 117 14.1 48 NA NA 1
1 3 3620 164 6.5 36 NA 0 0
1 1 14900 267 32.8 37 1 1 0
1 0 1385 121 3 NA NA NA 0
0 1 4560 156 33.6 33 1 NA 0
1 0 5080 332 4.6 37 1 NA 1
1 4 5980 492 4.1 40 1 0 0
1 2 4120 572 12 46 0 0 0
1 2 2040 584 8.3 27 NA 0 1
1 0 1425 303 5.1 19 0 NA 0
1 5 2540 700 5.5 38 1 1 0
1 2 4440 462 10 35 1 0 1
1 0 1320 336 17.6 46 1 NA 0
1 0 133 76 9.5 NA NA NA 1
1 1 1220 287 6.1 39 0 NA 1
1 1 1640 470 9.9 20 NA NA 0
1 1 14080 990 8.2 41 NA 1 0
1 0 153 160 10.7 NA NA NA 1
1 3 434 124 6.6 NA NA 0 1
1 0 4800 152 12.1 35 NA NA 0
1 1 332 76 8.7 42 0 NA 1
1 0 251 155 5.5 33 NA NA 1
1 0 487 101 8.3 35 NA NA 1
1 2 1530 129 5.7 NA NA 0 1
1 0 158 40 5.4 NA NA NA 1
1 4 13960 860 7.2 39 1 1 0
1 2 30480 960 15 43 1 1 0
1 0 746 126 4.9 NA NA NA 1
1 4 474 126 4.9 39 0 0 1
1 1 8570 365 17.5 46 1 NA 0
1 1 28660 1300 17 44 NA 1 0
1 2 5560 1020 4.8 35 1 1 1
1 0 7440 290 21.3 39 1 NA 0
1 1 2540 255 7.8 NA 1 NA 0
1 0 1125 87 6.4 30 1 NA 0
1 4 2140 247 9.3 39 1 0 1
1 2 400 47 24.8 42 NA 0 0
1 0 NA NA NA NA NA NA 1
1 1 4600 305 10.5 48 0 NA 0
1 0 382 860 15.1 41 0 1 0
1 0 8140 2080 20.7 NA NA 1 0
1 1 15660 322 24.8 NA NA 1 0
1 1 3490 231 16.3 34 0 NA 0
1 1 286 50 4.8 29 1 NA 0
1 2 27160 1240 19.7 38 1 1 0
1 0 242 83 7.3 NA NA NA 1
1 2 36 93 8.4 13 NA 0 0
1 2 1120 139 5.7 32 1 0 0
0 0 5400 260 9.1 19 NA NA 0
1 0 375 103 8.3 NA NA NA 1
1 7 8880 920 5.1 NA NA 1 0
1 4 26560 1160 39 33 1 1 0
1 3 1280 185 6.2 NA NA 0 1
1 6 1000 242 3.4 NA NA 0 1
1 1 845 383 5.7 43 NA NA 0
1 0 1660 62 4.8 NA NA NA 1
1 0 1740 80 39.8 NA NA NA 0
1 2 1700 339 4.8 26 1 0 1
0 2 4760 480 5.4 NA NA 0 1
0 0 119 52 5.1 37 1 NA 1
1 0 316 162 9.7 37 1 NA 1
0 0 NA NA NA NA NA NA 0
0 0 784 258 9.2 21 0 NA 0
1 3 34960 2080 7.9 39 1 1 0
1 6 493 169 5.4 32 1 0 0
1 0 1507 133 8.4 41 0 NA 0
1 1 53 48 7.2 27 0 NA 1
1 1 998 353 6.2 34 NA 0 0
1 0 1012 94 5.8 NA NA NA 0
1 0 167 69 6 NA NA NA 1
0 0 250 73 9.6 35 NA NA 0
1 1 9800 1400 NA NA NA 1 0
1 7 911 626 NA NA NA 0 1
NA 10 NA 200 NA NA NA NA 1
0 3 9700 1400 NA NA NA 1 0
1 2 20000 733 NA NA NA 1 0
0 1 612 103 NA NA NA NA 0
1 2 5987 347 NA NA NA 0 0
0 1 9960 1100 NA NA NA 1 0
0 1 195 53 NA NA NA NA 1
0 1 27659 773 NA NA NA 1 0
0 2 14000 600 NA NA NA 1 1
0 0 130 73 NA NA NA NA 0
NA 0 9000 490 NA NA NA NA 0
NA 3 22900 1066 NA NA NA 1 0
0 0 2930 250 NA NA NA NA 1
1 0 117 60 NA NA NA NA 1
0 1 45800 2266 NA NA NA 1 0
0 1 31000 1600 NA NA NA 1 0
1 0 1760 267 NA NA NA NA 1
0 1 37000 1300 NA NA NA 1 0
1 3 650 233 NA NA NA 0 0
1 5 22000 2066 NA NA NA 1 0
0 1 325 193 NA NA NA NA 0
1 2 3775 333 NA NA NA 0 1
0 4 7289 633 NA NA NA 1 0
1 5 10870 800 NA NA NA 1 0
