County Value P Year
"LeSueur" 1495 51 1981
"LeSueur" 1222 54 1981
"LeSueur" 1200 55 1981
"LeSueur" 1254 57 1981
"LeSueur" 1358 63 1981
"LeSueur" 1416 67 1981
"LeSueur" 1428 69 1981
"LeSueur" 1146 71 1981
"LeSueur" 1347 75 1981
"LeSueur" 1474 75 1981
"LeSueur" 1382 78 1981
"LeSueur" 1392 78 1981
"LeSueur" 1441 80 1981
"Sibley" 1652 75 1981
"Sibley" 1544 78 1981
"Sibley" 1536 81 1981
"Sibley" 1541 83 1981
"Sibley" 1570 84 1981
"Sibley" 1554 85 1981
"Sibley" 1601 85 1981
"Sibley" 1587 87 1981
"Sibley" 1435 89 1981
"Sibley" 1676 89 1981
"Sibley" 1599 90 1981
"Sibley" 1647 90 1981
"Sibley" 1643 92 1981
"Sibley" 1656 93 1981
"Sibley" 1592 94 1981
"Sibley" 1619 94 1981
"McLeod" 1524 71 1981
"McLeod" 1448 73 1981
"McLeod" 1483 76 1981
"McLeod" 1489 76 1981
"McLeod" 1489 77 1981
"McLeod" 1465 78 1981
"McLeod" 1427 79 1981
"McLeod" 1493 79 1981
"McLeod" 1497 79 1981
"McLeod" 1455 79 1981
"McLeod" 1496 79 1981
"McLeod" 1449 82 1981
"McLeod" 1481 83 1981
"McLeod" 1419 84 1981
"Meeker" 1047 31 1981
"Meeker" 814 32 1981
"Meeker" 1143 35 1981
"Meeker" 1263 35 1981
"Meeker" 1318 35 1981
"Meeker" 995 37 1981
"Meeker" 1286 38 1981
"Meeker" 1000 40 1981
"Meeker" 1036 44 1981
"Meeker" 1251 45 1981
"Meeker" 1308 55 1981
"Meeker" 1059 56 1981
"Meeker" 1413 60 1981
"Meeker" 1309 68 1981
"Meeker" 1404 73 1981
"Meeker" 1282 75 1981
"Meeker" 1450 79 1981
"LeSueur" 1719 51 1982
"LeSueur" 1405 54 1982
"LeSueur" 1380 55 1982
"LeSueur" 1442 57 1982
"LeSueur" 1562 63 1982
"LeSueur" 1628 67 1982
"LeSueur" 1642 69 1982
"LeSueur" 1318 71 1982
"LeSueur" 1549 75 1982
"LeSueur" 1695 75 1982
"LeSueur" 1589 78 1982
"LeSueur" 1601 78 1982
"LeSueur" 1659 80 1982
"Sibley" 1982 75 1982
"Sibley" 1865 78 1982
"Sibley" 1843 81 1982
"Sibley" 1849 83 1982
"Sibley" 1884 84 1982
"Sibley" 1865 85 1982
"Sibley" 1921 85 1982
"Sibley" 1904 87 1982
"Sibley" 1722 89 1982
"Sibley" 2011 89 1982
"Sibley" 1919 90 1982
"Sibley" 1976 90 1982
"Sibley" 1972 92 1982
"Sibley" 1987 93 1982
"Sibley" 1910 94 1982
"Sibley" 1943 94 1982
"McLeod" 1752 71 1982
"McLeod" 1665 73 1982
"McLeod" 1705 76 1982
"McLeod" 1712 76 1982
"McLeod" 1712 77 1982
"McLeod" 1685 78 1982
"McLeod" 1641 79 1982
"McLeod" 1717 79 1982
"McLeod" 1721 79 1982
"McLeod" 1673 79 1982
"McLeod" 1720 79 1982
"McLeod" 1666 82 1982
"McLeod" 1703 83 1982
"McLeod" 1632 84 1982
"Meeker" 1548 31 1982
"Meeker" 895 32 1982
"Meeker" 1257 35 1982
"Meeker" 1389 35 1982
"Meeker" 1450 35 1982
"Meeker" 1095 37 1982
"Meeker" 1415 38 1982
"Meeker" 1100 40 1982
"Meeker" 1140 44 1982
"Meeker" 1376 45 1982
"Meeker" 1439 55 1982
"Meeker" 1165 56 1982
"Meeker" 1554 60 1982
"Meeker" 1440 68 1982
"Meeker" 1544 73 1982
"Meeker" 1410 75 1982
"Meeker" 1595 79 1982
