JobClass NW NE Score MaxSalary 
Account_clerk 52 68 258 1549 
Account_clerk_Intermediate 26 29 269 1712 
Account_clerk_Principal 10 13 321 2182 
Account_clerk_Senior 16 24 273 1982 
Accountant 1 12 352 2555 
Accountant_Chief 0 5 709 4060 
Accountant_Principal 0 4 505 3424 
Accountant_Senior 2 18 404 3031 
Accounting_and_Purchasing_Director 0 1 799 5183 
Administrative_Assistant 6 7 438 2555 
Administrative_Assistant_Principal 1 5 723 4060 
Administrative_Assistant_Senior 5 11 536 3424 
Administrative_Hearing_Officer 0 3 357 3620 
Administrative_Secretary 11 12 335 2182 
Administrative_Service_Manager 0 2 786 4476 
Administrative_Service_Supervisor 1 3 588 3424 
Admissions_Manager 0 2 634 2817 
Adult_Corrections_Program_Manager 1 3 637 3684 
Affirmative_Action_Programs_Director 1 1 728 4370 
Ambulance_Dispatcher 1 8 362 2055 
Ambulance_Emergency_Medical_Technician 0 10 364 2137 
Ambulance_Services_Supervisor1 1 1 672 3595 
Amubulance_Services_Manager_Associate 1 1 674 3341 
Ambulance_Services_Supervisor2 0 3 550 2818 
Ambulatory_and_Emergency_Service_Manager 1 1 619 3260 
Appraisal_Supervisor 0 1 667 3964 
Appraiser 0 4 391 2784 
Appraiser_Junior 1 5 371 2374 
Appraiser_Principal 0 4 535 3341 
Appraiser_Senior 0 2 412 3064 
Architect_Project_Manager 0 3 638 3684 
Architectual_and_Engineering_Supervisor 0 1 793 4818 
Architectual_Assistant 0 1 446 2684 
Assessment_Technician 1 2 198 1860 
Assessor_Assistant_County 0 1 611 4161 
Assessor_County 0 1 728 5208 
Attorney 12 77 611 4978 
Attorney_Associate 2 4 544 3662 
Attorney_Chief_Deputy_County 0 1 878 6043 
Attorney_County 0 1 906 6179 
Attorney_Principal 0 5 802 5665 
Attorney_Senior 3 24 745 5311 
Audiologist 0 1 506 2886 
Audio-Visual_Technician 0 4 235 1952 
Audio-Visual_Technician_Principal 0 1 465 2748 
Audio-Visual_Technician_Senior 0 1 330 2261 
Biometrician_Chief 0 1 588 4060 
Bio-Electronics_Manager 0 1 625 3031 
Bio-Electronics_Supervisor 0 1 541 2886 
Bio-Electronics_Technician 0 5 386 2748 
Budget_and_Finance_Director 0 1 832 5336 
Building_Maintenance_Supervisor 0 11 458 2684 
Business_Services_Officer 0 2 688 3867 
Business_Services_Officer_Assistant_ 1 5 497 2618 
Buyer 0 4 415 2886 
Buyer_Principal 0 1 625 3684 
Buyer_Senior 0 2 511 3341 
Cardiac_Ultrasound_Technician 1 1 316 2154 
Cardiac_Ultrasound_Technician_Senior 1 1 391 2317 
Carpenter 0 2 347 2880 
Unknown1 48 59 309 2031 
Cashier_Clerk 4 5 182 1357 
Cashier_Clerk_Principal 1 1 236 1627 
Cashier_Clerk_Senior 11 11 211 1513 
Central_Services_Manager 0 1 615 3684 
Cemtral_Services_Supervisor 0 3 443 2317 
Chaplaincy_Services_Director 0 1 556 3508 
Chemical_Dependency_Councilor 11 17 319 1952 
Chemical_Dependency_Councilor_Principal 2 5 512 3181 
Chemical_Dependency_Councilor_Senior 8 19 334 2493 
Chemical_Health_Division_Manager 0 1 737 4533 
Clerical_Services_Manager 9 9 559 2317 
Cleriacal_Supervisor 4 5 313 1718 
Clerical_Supervisor_Principal 22 22 390 2096 
Clerical_Supervisor_Senior 48 49 365 1903 
Clerk1 46 65 82 1207 
Clerk_Stenographer 20 20 227 1493 
Clerk_Stenographer_Senior 26 26 257 1729 
Clerk_Typist 23 23 131 1252 
Clerk_Typist_Intermediate 290 307 184 1426 
Clerk_Typist_Senior 104 104 246 1647 
Clerk_Typist-Steno_Principal 25 25 272 1907 
Clerk_unknown 21 22 267 1647 
Clerk_Intermediate 76 102 171 1362 
Clerk_Police 27 29 289 1837 
Clerk_Principal 14 21 288 1907 
Clerk_Purchasing 6 7 318 1647 
Clerk_Senior 68 79 215 1569 
Clerk2 74 79 189 1427 
Clerk_County_Board_of_Commisioners 1 1 481 2916 
Clerk_Mail/Messenger 6 11 144 1362 
Clerk_Resources_specialist 2 5 381 2611 
Clinical_Sevices_Supervisor 3 6 400 2154 
Clinical_Services_Manager_Outpatient 1 1 435 2493 
Communical_Disease_Registrar 1 1 298 2051 
Communications_Manager 0 1 706 5059 
Communications_System_Specialist 0 2 604 3424 
Communications_Technician 0 8 455 2723 
Communications_Technician_Aide 0 2 277 1772 
Communication_Technician_Lead 0 1 461 3031 
Community_Health_Program_Supervisor 3 5 601 3424 
Community_Health_Supervisor 1 1 514 2684 
Community_Health_Worker_Senior 10 12 206 1607 
Community_Resources_Division_Manager 0 1 748 4533 
Community_Services_Director 0 1 826 6025 
Community_Services_Division_Manager 0 4 755 4533 
Community_Services_Program_Manager 1 11 589 4005 
Computer_Graphics_Aide 2 2 226 1729 
Computer_Graphics_Supervisor 0 1 568 2817 
Computer_Graphics_Technician 1 4 344 2103 
Computer_Graphics_Technician_Senior 0 1 485 2493 
Contract_Services_Manager 0 1 626 4060 
Contract_Services_Representative 4 11 409 2555 
Contract_Services_Supervisor 0 2 494 3424 
Cook 4 14 191 1644 
Cook_Senior 1 3 267 1751 
Coordinator_of_Volunteers 3 3 406 2724 
Coordinator_of_Volunteers_Senior 0 1 530 3151 
Correctional_Officer 16 60 338 2458 
Correctional_Officer_Supervisor 1 14 522 3181 
Correctional_Officer_Community 0 2 338 2444 
Correctional_Officer_Senior 3 19 378 2589 
County_Administrator 0 1 1017 6329 
County_Administrator_Associate 0 2 956 6880 
County_Administrator_Deputy 0 1 972 6880 
County_Commissioner 0 7 809 4544 
County_Commissioner_Principal-Assistant 2 7 556 2886 
County_Recorder 0 1 648 3964 
Court_Administrator_Manager 1 2 589 3424 
Court_Administrator_Manager_Senior 0 1 623 4060 
Court_Administrative_Specialist 11 15 268 2149 
Court_Administrator__Deputy 0 1 778 5080 
Court_Deputy 29 32 242 1604 
Court_Deputy_Principal 6 16 369 2370 
Court_Deputy_Senior 71 93 337 1950 
Court_Division_Supervisor 8 14 738 2748 
Court_Referee 5 17 635 4719 
Court_Reporter 1 1 303 3106 
Court_Services_Division_Supervisor 1 4 739 4476 
Court_Services_Supervisor 5 25 508 3716 
Custodial_Security_Worker 0 5 192 1775 
Custodial_Worker_Heavy 47 112 101 1549 
Custodial_Worker_Supervisor 2 9 339 1795 
Cytotechnologist 2 2 326 2051 
Delivery_Worker 2 4 149 1631 
Dental_Assistant 9 9 292 1459 
Dental_Hygenist 1 1 360 2001 
Dental_Hygenist_Senior 1 1 395 2207 
Dentist 0 1 611 4936 
Dentist_Senior 0 1 741 5441 
Dietitian 5 5 467 2374 
Driver 0 6 159 1879 
Duplications_Machine_Operator 1 1 161 1457 
Economic_Assistance_Director 1 1 808 5741 
Economic_Assistance_Division_Manager 0 5 744 4533 
Economic_Assistance_Program_Manager 2 8 594 4005 
Economic_Assistance_Special_Services_Supv 0 2 504 3633 
Economic_Assistance_Unit_Supervisor 42 54 454 2618 
EDP_Assistant_Operations_Manager 0 1 610 3260 
EDP_Computer_I/D_Operator 3 5 134 1604 
EDP_Computer_Operator 3 5 294 2001 
EDP_Data_Control_Superevisor 1 1 387 2088 
EDP_Development_Supervisor 4 16 593 3595 
EDP_Equipment_Operation_Supervisor 1 1 508 2817 
EDP_Manager 0 9 598 4370 
EDP_Master_Terminal_Operator 1 2 282 2433 
EDP_Operations_Analyst 4 7 378 2433 
_EDP_Operations_Analyst_Supervisor 0 1 506 2684 
EDP_Operations_Shift_Supervisor 1 5 434 2555 
EDP_Programmer 9 17 365 2555 
EDP_Programmer_Analyst 13 37 426 3031 
EDP_Programmer_Trainee 2 2 238 2001 
EDP_Senior_Programmer 4 10 372 2886 
EDP_Senior_System_Software_Programmer 1 7 506 3595 
EDP_Systems_Analyst 3 25 503 3260 
EDP_System_Software_Programmer 1 8 440 3181 
EDP_Technical_Supervisor 0 7 637 3964 
EDP_Technical_Writer 4 5 332 2555 
EDP_Technical_Writer_Supervisor 1 1 467 3031 
EEO_Specialist 2 3 383 2555 
Electocardiogram_Supervisor 1 1 393 1772 
Electocardiogram_Technician 3 5 235 1459 
Electocardiogram_Technician_Senior 1 1 305 1605 
Electrician 1 1 390 3409 
Electroencephalograph_Supervisor 2 2 404 1772 
Electroencephalograph_Technician 4 4 221 1531 
Electronics_Technician 0 3 336 2748 
Emergency_Preparedness_Representative 1 1 317 2684 
Emergency_Preparedness__Assistant_Director_of 0 1 423 3424 
Emergency_Preparedness_Director 0 1 627 4060 
Engineering_Technician 1 35 375 2301 
Engineering_Technician_Assistant 0 9 341 1996 
Engineering_Technician_Principal 0 17 420 3087 
Engineering_Technician_Senior 0 33 418 2666 
Engineering_Technician_Supervising 0 4 577 3508 
Engineer_Administrative 0 5 760 5059 
Engineer__Associate_Administrative 0 1 747 4370 
Engineer_Professional 0 7 622 3684 
Engineer_Safety 0 1 515 3684 
Engineer_Senior_Professional 0 13 663 4161 
Entrance_Permit_Coordinator 0 1 445 2416 
Environment_and_Energy__Director 0 1 765 5312 
Environmentalist 3 5 480 2684 
Environmentalist_Principal 0 1 572 3595 
Environmentalist_Senior 0 5 545 3106 
Epidemiologist 5 5 568 3031 
Equipment_Body_Repairworker 0 1 312 2381 
Equipment_Division_Manager 0 1 577 4370 
Equipment_Foreman_General 0 1 364 3508 
Equipment_Mechanic__Leadworker 0 1 367 2532 
Equipment_Mechanic__Journeyman 0 14 343 2381 
Equipment_Mechanic__Junior 0 2 273 2184 
Equipment_Operator_Heavy 0 11 246 2379 
Equipment_Operator_Light 0 17 218 2089 
Equipment_Operator_Medium 0 23 232 2182 
Equipment_Processing_Supervisor 0 2 331 1952 
Equipment_Serviceworker 0 4 177 1986 
Equipment_Shift_Foreman 0 1 373 3181 
Examiner_of_Titles 0 1 671 5112 
Executive_Housekeeper 0 1 542 2886 
Facilities_Maintenance_Worker 0 9 251 1670 
Facilities_Maintenance/Operations_Engineer 0 31 398 2416 
Facilities_Maintenance/Operations_Mechanic 0 12 274 2162 
Facilities_Manager 0 2 746 4476 
Facilities_Supervisor 0 6 524 3031 
Facilities_Supervisor_Senior 0 1 554 3684 
Finance_and_Collecting_Manager 0 1 813 5183 
Financial_Assistance_Services_Manager 0 1 770 5059 
Financial_Management_Analyst_Principal 0 2 672 4060 
Financial_Management_Analyst_Senior 3 6 508 3424 
Financial_Worker 60 80 234 1579 
Financial_Worker_Principal 140 182 376 2020 
Financial_Worker_Senior 95 135 307 1828 
Food_Service_Supervisor 17 17 326 1729 
Food_Service_Worker 32 42 124 1227 
Food_Service_Worker_Senior 20 22 148 1426 
Food_Services_Associate_Director 1 1 710 3341 
Food_Services_Assistant_Director 1 1 457 2817 
Forms_Analyst 0 1 308 2207 
Graphic_Artist 1 1 331 2261 
Health_Care_Assistant 9 18 259 1493 
Health_Care_Specialist 4 12 303 2208 
Highway_Dist._Maintenance_Supervisor 0 3 649 3424 
Highway_Maintenance_Foreman 0 4 516 3181 
Highway_Maintenance_Worker 0 23 208 2041 
Histology_Supervisor 1 1 344 1772 
Histology_Technician 4 4 268 1607 
Unknown_counselor 13 13 343 2020 
Housekeeping_Aide 1 1 111 1458 
Information_Services_Assistant_Director 0 2 678 5059 
Information_Services_Director 0 1 861 5999 
Information_Writer 1 2 374 2555 
Information_Writer_Senior 4 5 443 3031 
Internal_Audit_Director 0 1 776 4936 
Investigator 1 21 515 3031 
Investigator_Supervisor 0 3 607 3341 
Investment_Manager 0 1 545 3867 
Juvenile_Corrections_Supervisor 4 15 432 3181 
Juvenile_Corrections_Worker 14 50 330 2458 
Juvenile_Security_Officer 4 18 324 2275 
Labor_Relations__Director 0 1 787 4818 
