TankTemp GasTemp TankPres GasPres Y
28 33 3 3.49 22
24 48 2.78 3.22 27
33 53 3.32 3.42 29
29 52 3 3.28 29
33 44 3.28 3.58 27
31 36 3.1 3.26 24
32 34 3.16 3.16 23
34 35 3.22 3.22 23
33 51 3.18 3.18 26
33 50 3.12 3.02 19
34 51 3.2 3.07 21
37 51 3.39 3.08 22
36 54 3.38 3.43 28
34 54 3.17 3.4 27
36 54 3.2 3.41 27
39 57 3.37 3.49 28
34 36 3 3 21
35 35 3.03 3.03 21
36 33 3.07 3 21
34 35 2.9 2.95 20
59 56 4.78 4.59 33
59 57 4.78 4.64 33
60 59 4.8 4.72 35
60 60 4.72 4.72 34
60 60 4.72 4.72 28
60 60 4.72 4.72 31
59 60 4.6 4.41 32
57 60 4.32 4.32 28
57 59 4.32 4.32 27
60 60 4.53 4.53 34
61 60 4.64 4.53 34
62 60 4.74 4.53 33
60 59 4.52 4.47 33
60 60 4.52 4.47 33
59 60 4.47 4.34 33
60 59 4.45 4.45 33
61 59 4.5 4.4 34
59 58 4.36 4.23 35
60 59 4.4 4.36 36
60 60 4.4 4.36 36
60 61 4.31 4.42 31
60 62 4.31 4.42 34
60 61 4.31 4.31 32
59 60 4.19 4.27 31
60 36 4.27 3.94 23
59 36 4.2 3.8 24
61 39 4.39 4.13 25
62 38 4.41 3.49 24
58 35 4.1 3.29 21
61 57 4.32 4.21 33
59 60 4.17 4.17 31
60 60 4.19 4.19 31
61 61 4.27 4.27 32
62 61 4.39 4.39 32
60 61 4.19 4.27 32
60 61 4.19 4.19 32
90 64 7.32 6.7 40
92 64 7.6 6.58 38
90 56 7.32 7.2 45
90 60 7.32 7.2 46
92 89 7.45 7.37 58
92 92 7.45 7.45 58
92 92 7.45 7.45 55
92 92 7.45 7.45 54
92 90 7.38 7.26 55
91 92 7.26 7.26 52
62 68 3.99 4.22 30
62 62 3.99 3.99 29
61 62 3.91 4.08 29
61 62 3.91 3.99 28
59 44 3.75 3.54 22
59 42 3.75 3.45 22
93 68 7.07 6.38 35
92 66 6.93 6.25 32
88 65 6.48 5.8 31
91 69 6.7 5.92 32
92 87 6.8 6.48 43
91 89 6.7 6.6 45
90 90 6.6 6.6 46
61 62 4.1 4.2 30
63 62 4.3 4.3 37
60 61 4.02 4.2 31
62 62 4.2 4.2 35
60 61 4.02 4.1 37
59 61 3.98 4.02 36
60 61 4.02 4.11 38
60 61 4.02 4.11 34
59 61 3.98 4.11 35
60 62 4.02 4.11 36
60 62 4.02 3.98 33
61 63 4.11 4.11 26
59 62 3.98 4.2 29
59 63 3.98 4.3 29
61 62 4.11 4.2 28
61 62 4.11 4.11 28
59 62 3.98 4.02 27
59 62 3.98 3.98 28
62 62 4.2 4.2 30
61 62 4.11 4.2 31
60 61 4.02 4.02 29
59 61 3.98 4.11 28
60 61 4.02 4.02 29
60 61 4.02 4.11 30
60 61 4.02 4.02 33
60 61 4.02 4.11 30
61 61 4.11 4.11 28
60 61 4.02 3.98 29
60 62 4.02 4.02 29
62 63 4.62 4.53 35
60 62 4.48 4.62 34
59 62 4.39 4.53 34
40 35 2.98 2.8 22
37 35 2.8 2.68 20
37 35 2.73 2.64 19
34 35 2.62 2.52 17
35 35 2.59 2.62 19
35 35 2.59 2.59 16
37 37 2.73 2.59 22
35 36 2.59 2.62 18
34 35 2.62 2.52 19
35 35 3.23 3.06 21
35 35 3.23 3.12 22
36 35 3.27 3.27 23
37 35 3.26 3.12 22
37 36 3.26 3.12 23
