T1 T2 Time
0 1166 2396
0 1656 2348
0 899 2403
516 3315 13518
623 3969 13437
395 3087 7914
408 2925 9111
244 1487 5818
538 4092 12250
0 2798 7300
572 4483 14163
672 4012 13147
2 2440 5540
365 2534 8372
371 3259 8805
476 5791 14164
567 5002 13141
274 2332 6653
329 2135 8163
214 2071 4417
381 3128 8712
10 2537 4574
186 2125 5828
7 2297 3937
599 2987 11009
2 3272 8488
180 1363 3618
651 5330 15304
377 3324 8183
303 2963 9763
754 3858 11644
0 3357 7948
286 2533 6964
349 2520 7479
524 3969 11504
279 2192 7006
167 1426 2701
214 2011 5927
577 4624 13441
353 3155 8164
335 2905 9266
247 1762 5583
525 4658 13404
563 4220 13270
152 1842 4852
294 1914 4912
475 2636 10442
469 3626 12001
179 1339 3555
10 1957 4925
0 1174 2175
0 1772 3752
67 1143 2002
87 1278 3235
183 1858 4748
0 884 2383
0 866 2362
106 2079 5058
109 1668 5101
10 932 1968
207 3184 7313
133 2266 4759
0 1146 2425
204 2237 10691
0 1989 3476
168 2052 6771
202 2207 5739
0 1382 2289
0 1573 3415
386 3312 7759
472 2891 9770
626 3175 11948
106 940 2880
79 1425 3596
42 578 1702
14 249 664
108 1179 3612
202 3062 7567
745 4553 16477
106 1667 4312
107 2229 5509
214 2452 4789
32 623 1548
46 714 2403
109 1162 3114
142 1412 3435
154 1680 3893
110 1528 4159
23 314 801
176 1783 4588
40 450 1597
138 2214 3934
111 1871 3956
215 3081 7897
9 148 487
26 221 587
16 230 740
363 4756 11923
162 1441 4075
756 5777 15029
257 2241 6127
385 3141 8619
437 4071 10203
308 2951 6134
308 3352 8164
216 3085 5259
136 1275 2943
270 1533 4001
183 1269 2585
181 1411 3944
372 2884 7547
333 2094 5324
682 5641 10694
487 2308 5441
402 3954 8236
0 1312 2508
268 1708 4282
471 3783 9430
828 4177 10337
540 2367 7418
259 1789 4500
213 1379 3691
506 3806 9369
442 2725 8682
306 2330 6778
449 3398 10391
0 1309 2677
0 1383 2626
695 4273 12255
0 1561 2721
0 1842 3596
0 1763 3539
0 2140 3401
0 1507 2741
187 1477 4256
656 2704 8322
430 1949 6730
337 2986 8402
110 1393 3106
35 878 2680
220 1860 5535
361 3744 9936
140 1202 2811
93 1276 3025
0 1105 2808
0 1457 2663
0 4218 8696
728 3844 15042
642 1939 4943
400 2649 6615
441 3927 6841
424 3686 7231
226 2460 4946
500 3908 8781
337 2148 6875
209 2690 6972
179 1491 3776
252 2181 3590
3 2267 5580
364 3723 7233
12 4536 15046
7 2069 4479
7 2182 3358
12 1739 3905
2 1811 2809
0 1693 3391
322 1641 5560
275 1506 6013
131 663 3296
581 3224 11817
398 2663 8417
215 1773 5186
146 1650 4099
210 1882 4177
218 1893 4451
6 1505 2352
29 1230 1725
55 1126 1680
7 1041 1764
735 3395 10284
721 4192 12449
91 2263 5794
818 2634 8985
918 3992 12597
712 3075 10587
724 3576 11763
806 4728 14601
663 3811 10915
278 1626 4618
87 2409 4941
99 2941 6664
115 2599 5757
72 1936 4933
102 1203 3112
635 4632 12320
90 1104 3542
97 1139 3546
280 2103 5974
296 1666 5550
177 1303 3797
1450 5183 20741
825 3650 13653
466 2328 7648
535 3964 11362
201 1452 4458
386 4038 11330
200 2358 6504
79 1459 3132
616 4689 11336
91 1033 2582
71 868 2662
82 979 2717
94 1077 2758
91 1811 4433
722 4082 12041
88 1758 4437
1029 5500 17651
1206 5305 16254
92 2475 5489
647 3473 8920
291 1358 6210
69 1899 4516
754 4319 13488
665 3861 9755
487 2512 7154
39 1661 5481
44 1529 4341
640 2534 10083
856 4525 13961
428 2126 6552
693 3608 11613
537 2815 8939
581 2694 8079
573 3422 11129
543 2320 7121
495 2619 9384
429 2710 7699
88 1589 4591
104 2357 5502
97 1325 3942
87 1516 4088
88 1373 3113
18 1633 4231
11 1758 3064
15 2048 5647
362 2740 7210
14 2127 5992
31 2342 4066
306 3320 8004
331 3143 8537
205 2264 4752
275 2001 5731
196 1554 4823
235 2041 5953
147 1532 4899
85 1237 3526
193 1917 4445
292 3368 7838
245 2644 5748
370 2644 7930
825 4429 13610
