Plot Tree Species Dbh Height
2 1 DF 390 205
2 2 WL 480 330
3 2 GF 520 300
3 5 WC 360 207
3 8 WC 380 225
4 1 WC 460 180
4 2 DF 250 170
4 9 WP 299 240
5 2 DF 549 293
5 4 GF 518 290
5 6 WP 155 140
6 1 DF 409 260
6 2 WC 290 220
6 3 WC 294 320
6 4 WC 685 260
6 5 WP 351 333
6 6 WC 630 330
7 2 WC 466 275
7 3 WP 213 220
7 4 WC 553 300
8 1 GF 462 313
9 1 WC 271 270
10 1 DF 420 330
10 4 WC 375 298
11 3 GF 383 271
11 4 GF 223 215
11 5 DF 225 226
12 1 WL 218 180
12 2 WC 151 155
12 6 SF 170 183
13 1 WC 230 200
13 2 WC 320 225
13 3 WC 525 290
15 1 LP 240 245
15 2 WP 295 220
16 1 GF 105 50
16 2 WC 750 320
16 3 WC 895 350
16 4 GF 300 250
16 5 GF 320 310
16 6 GF 295 270
16 7 WC 425 225
16 10 WC 830 350
17 1 WC 390 240
18 1 WL 250 280
18 2 SF 160 130
18 3 SF 115 205
18 4 WP 210 225
18 5 WL 225 260
19 1 WL 210 225
19 2 WP 115 160
19 3 WP 220 245
19 5 WL 125 140
20 1 GF 240 190
20 2 GF 275 230
20 3 DF 325 265
20 4 GF 115 80
21 1 GF 365 315
21 4 DF 282 250
21 5 GF 198 160
21 6 WC 215 175
21 9 WP 462 375
22 1 WC 389 300
22 2 WL 443 375
22 3 GF 263 280
22 5 DF 343 235
22 6 WP 400 385
22 7 WC 262 210
22 8 DF 405 220
22 9 WC 199 170
23 1 WP 410 340
23 2 WC 146 110
23 4 HW 207 200
23 5 GF 398 365
24 6 WL 401 375
25 2 LP 192 160
25 6 WP 287 250
27 1 DF 215 190
27 2 GF 148 150
27 4 LP 310 250
27 6 WC 686 280
27 8 WP 159 180
28 1 GF 185 190
28 2 GF 142 160
28 3 WC 487 250
29 1 GF 527 300
29 2 GF 322 260
30 1 WC 640 270
30 2 GF 585 340
30 3 WC 243 130
31 1 GF 296 320
31 2 WC 430 290
31 3 DF 522 310
32 1 WC 272 230
32 2 WC 340 230
32 3 WC 404 260
33 1 WC 111 95
33 3 GF 207 250
33 6 DF 283 310
34 1 WL 496 230
34 2 WC 449 250
34 5 GF 425 300
35 1 GF 719 320
35 2 WC 565 275
35 3 WC 311 250
36 1 WC 425 270
36 2 GF 352 270
36 3 GF 421 300
37 1 SF 143 180
37 3 DF 140 200
37 4 ES 380 240
38 1 WP 273 190
38 2 WC 177 190
38 3 WP 235 185
39 1 WC 335 200
39 4 WC 405 220
40 1 WL 295 280
40 2 WC 690 300
40 3 WP 245 240
40 5 WC 465 260
41 1 WL 425 290
41 2 WC 305 210
41 3 ES 550 320
41 6 WC 305 250
41 7 WC 378 280
42 1 WC 497 300
42 2 WC 377 280
42 4 WC 262 230
43 1 WC 310 260
43 2 WC 385 270
43 3 WC 940 360
43 4 WC 1015 390
43 5 WP 382 340
43 6 DF 350 340
44 1 WC 315 245
44 2 GF 590 312
44 3 WP 382 340
43 6 DF 350 340
44 1 WC 315 245
44 2 GF 590 312
44 3 WP 1120 385
44 4 WC 602 320
45 1 GF 180 220
45 2 WC 471 300
45 3 WC 637 285
45 4 DF 638 340
46 1 WP 465 272
46 2 WC 125 100
46 3 WC 155 115
46 5 WP 545 280
47 1 GF 455 315
47 2 WC 600 330
48 1 WC 200 175
48 2 WL 320 300
48 3 DF 420 305
48 4 GF 255 225
