"Plot" "Tree" "Species" "Dbh" "Height"
3 2 "GF" 520 300
5 4 "GF" 518 290
8 1 "GF" 462 313
11 3 "GF" 383 271
11 4 "GF" 223 215
16 1 "GF" 105 50
16 4 "GF" 300 250
16 5 "GF" 320 310
16 6 "GF" 295 270
20 1 "GF" 240 190
20 2 "GF" 275 230
20 4 "GF" 115 80
21 1 "GF" 365 315
21 5 "GF" 198 160
22 3 "GF" 263 280
23 5 "GF" 398 365
25 1 "GF" 230 130
26 1 "GF" 371 210
27 2 "GF" 148 150
28 1 "GF" 185 190
28 2 "GF" 142 160
29 1 "GF" 527 300
29 2 "GF" 322 260
30 2 "GF" 585 340
31 1 "GF" 296 320
33 3 "GF" 207 250
34 5 "GF" 425 300
35 1 "GF" 719 320
36 2 "GF" 352 270
36 3 "GF" 421 300
44 2 "GF" 590 312
44 2 "GF" 590 312
45 1 "GF" 180 220
47 1 "GF" 455 315
48 4 "GF" 255 225
52 2 "GF" 477 310
52 3 "GF" 613 250
54 1 "GF" 397 253
56 4 "GF" 683 390
57 1 "GF" 422 328
57 3 "GF" 185 202
59 1 "GF" 861 402
61 2 "GF" 104 165
61 4 "GF" 248 190
62 2 "GF" 335 275
63 2 "GF" 250 235
65 1 "GF" 197 165
65 4 "GF" 300 280
67 1 "GF" 191 145
67 5 "GF" 463 300
68 1 "GF" 780 420
70 2 "GF" 357 345
71 2 "GF" 305 235
72 2 "GF" 275 235
72 3 "GF" 146 235
74 1 "GF" 322 230
74 2 "GF" 350 230
78 2 "GF" 644 420
80 1 "GF" 248 240
81 2 "GF" 588 250
82 1 "GF" 656 350
82 2 "GF" 105 95
82 3 "GF" 196 185
83 1 "GF" 441 300
83 2 "GF" 245 220
83 3 "GF" 248 210
84 1 "GF" 506 320
84 2 "GF" 453 300
84 3 "GF" 171 120
85 7 "GF" 415 280
87 2 "GF" 155 145
87 3 "GF" 140 90
89 1 "GF" 798 310
89 2 "GF" 220 180
91 1 "GF" 121 105
91 2 "GF" 300 170
92 3 "GF" 330 290
97 1 "GF" 460 280
97 3 "GF" 338 241
98 7 "GF" 108 148
99 2 "GF" 435 264
100 1 "GF" 421 324
101 2 "GF" 607 300
103 2 "GF" 239 232
106 1 "GF" 245 238
106 2 "GF" 314 270
108 2 "GF" 397 195
109 1 "GF" 475 270
109 2 "GF" 498 245
110 4 "GF" 812 470
111 2 "GF" 565 300
112 1 "GF" 522 350
121 1 "GF" 330 170
121 4 "GF" 234 200
122 1 "GF" 312 190
122 2 "GF" 352 245
122 3 "GF" 257 180
122 4 "GF" 163 90
123 1 "GF" 401 195
124 1 "GF" 425 280
124 2 "GF" 314 230
126 1 "GF" 284 230
126 2 "GF" 393 250
129 1 "GF" 454 250
131 2 "GF" 292 230
131 3 "GF" 383 240
132 2 "GF" 239 175
135 1 "GF" 189 160
135 2 "GF" 205 130
135 3 "GF" 210 185
136 2 "GF" 164 130
139 7 "GF" 445 270
143 1 "GF" 280 210
143 2 "GF" 330 205
144 1 "GF" 102 160
