Age Length Scale
1 71 1.90606
1 64 1.87707
1 57 1.09736
1 68 1.33108
1 72 1.59283
1 80 1.91602
2 108 3.73417
4 154 5.34332
5 180 6.13273
5 180 6.11218
5 188 7.3863
5 194 6.67846
5 198 7.75969
5 198 7.53504
5 191 7.75621
5 196 6.21544
5 199 8.3365
5 200 6.19104
5 204 8.75796
5 208 8.54175
5 212 8.52465
5 214 7.89781
5 216 8.33106
5 230 7.70472
5 215 7.73223
5 232 8.32392
5 241 10.6471
5 259 12.3396
5 244 9.64278
7 328 14.7097
1 55 1.05423
2 104 2.46004
2 93 2.36905
2 97 2.39511
2 142 3.5576
2 126 3.19535
2 110 2.90307
2 108 2.6324
2 120 2.7548
2 99 2.10926
2 109 2.43577
2 114 2.74622
2 87 2.02403
2 113 2.92346
2 88 1.61975
2 107 2.41992
2 104 2.33682
2 111 2.74467
2 99 2.46368
2 107 2.44184
2 88 1.98069
2 104 2.45684
2 98 2.38326
2 112 2.76385
2 120 2.73407
2 115 2.61356
3 132 3.93541
3 150 3.5568
3 161 4.2253
3 164 4.26416
5 176 4.34144
5 176 5.26793
5 191 5.83113
6 212 6.55466
6 232 6.86336
6 209 5.786
6 228 6.13793
6 201 5.79815
6 207 5.46644
6 224 6.84197
6 214 5.9065
6 239 6.22823
6 216 6.71975
6 245 8.08869
6 228 6.95286
6 218 5.53997
6 243 7.90884
6 230 5.91425
6 208 5.88014
6 242 6.90246
6 222 6.81615
6 236 7.11925
6 194 4.97797
6 279 9.02364
6 209 6.23579
6 209 5.56217
6 195 5.33028
7 192 5.51572
7 218 6.27809
7 252 7.13232
7 249 7.80844
7 264 7.45079
8 279 9.76653
1 75 1.51076
1 75 1.57989
1 71 1.48721
2 116 2.73596
2 117 3.05503
2 111 2.44914
2 112 3.1239
2 114 2.68882
2 115 2.66954
2 113 2.53006
2 102 2.1682
2 109 2.61755
2 101 2.96301
2 107 2.86299
2 123 3.00363
2 120 2.92671
2 127 3.50139
2 129 3.18664
2 130 2.89306
2 99 2.34205
2 98 2.24291
2 109 2.55828
2 112 2.76269
2 112 2.55027
2 119 2.83109
2 110 2.6938
3 138 3.53202
3 129 3.54315
3 127 2.70299
3 129 3.36983
3 124 3.27235
3 121 3.59346
3 123 2.93893
3 125 3.15369
3 127 3.35407
3 128 3.25392
3 136 3.67732
3 137 3.58724
3 136 3.31028
3 138 3.75812
3 136 3.6441
3 130 3.26263
3 136 3.12974
3 136 2.86264
3 130 3.22882
3 137 3.12882
3 138 3.30415
3 142 3.58521
3 144 3.8481
3 146 3.45954
3 140 3.70137
3 140 3.78791
3 142 3.83033
3 141 3.61963
3 146 3.83196
3 142 3.50787
3 156 4.49114
3 153 3.99244
3 152 4.29389
3 128 3.51686
3 139 3.68562
3 137 3.75794
3 146 3.85829
3 144 4.0323
3 148 4.02844
3 145 3.78666
3 148 4.0286
3 156 4.58932
3 158 4.15966
3 152 4.04656
3 158 4.72364
3 157 4.06781
3 153 3.83699
3 150 4.23423
3 152 3.89114
3 155 3.76311
3 155 4.01598
3 154 3.86272
3 155 3.70074
3 151 3.79104
3 150 3.69579
3 158 4.36369
3 154 3.71019
3 155 3.55222
3 156 4.3068
3 153 4.32303
3 154 4.27702
3 151 3.76075
3 152 4.69779
3 165 3.96131
3 161 4.23493
3 163 4.60884
3 165 4.51431
3 166 4.85084
3 164 4.67268
3 160 3.36351
3 166 4.76108
3 160 4.17453
3 151 3.87908
3 155 4.40312
3 155 4.39591
3 166 4.6645
3 167 4.12129
3 169 4.87306
3 163 4.28235
3 160 4.36507
3 170 4.71431
3 187 5.01197
3 182 5.13288
3 180 5.89172
4 178 4.43635
4 198 6.01561
4 187 4.27684
4 175 5.16056
4 197 6.20703
4 205 5.41033
4 218 7.44389
6 214 5.97393
6 218 6.74838
6 209 5.94372
6 205 5.68903
6 228 7.06863
6 221 6.98538
6 225 7.10979
6 229 6.46538
6 232 6.85989
6 264 7.84634
6 293 8.50395
6 217 6.56736
6 234 6.79868
6 236 7.63369
7 214 5.34522
7 244 7.32901
7 277 8.97699
7 219 6.56945
7 225 6.47536
7 264 7.58069
7 253 7.70962
7 252 5.72765
7 256 7.47717
7 243 6.84415
7 243 7.57375
7 234 6.55032
7 231 7.51913
7 266 8.66516
7 256 7.16672
7 260 8.39118
7 230 7.12913
7 266 8.67631
7 265 7.84295
7 254 7.67879
7 259 7.8154
7 274 8.63931
7 272 8.77933
7 278 9.06803
7 262 6.20853
7 261 8.36116
7 264 7.76545
7 268 7.96227
7 265 8.90568
7 276 8.49985
7 277 8.88139
7 283 8.87432
7 283 8.54091
7 280 9.03015
7 286 8.6666
7 298 8.5547
7 298 8.54805
7 296 9.3879
7 290 9.31498
7 298 8.77705
7 301 10.6183
7 346 10.7962
7 312 9.2219
7 293 9.74397
7 283 8.57676
7 289 9.53004
7 279 8.44667
7 294 9.37099
5 244 9.29648
5 241 10.6685
5 232 8.82248
5 215 8.02835
5 230 8.22593
5 216 8.33316
5 214 9.92348
5 212 8.74129
5 208 8.56718
5 204 8.03349
5 200 6.74572
5 199 8.31908
5 196 6.4349
5 191 6.75426
5 198 8.2759
5 198 8.28205
5 194 7.69658
4 192 6.60033
5 188 7.04855
5 180 7.32676
5 180 6.80156
5 222 9.14422
4 208 7.77257
4 274 10.4519
5 277 10.3721
5 292 11.7562
4 204 5.42617
6 296 12.9186
7 269 10.5004
6 287 10.6916
5 294 10.7377
7 289 12.1859
7 281 8.40723
7 253 11.6335
8 316 10.9182
5 259 11.4517
5 211 7.68813
5 224 7.03653
5 235 6.19027
5 257 9.49968
5 257 7.84134
5 208 8.5137
5 211 8.28137
5 249 10.0296
1 106 2.65743
1 57 1.35003
1 64 1.52934
1 107 2.23671
1 102 3.12379
1 108 3.78155
1 71 1.79928
5 255 8.73074
1 142 3.26538
1 165 4.86465
2 209 5.36206
4 154 5.68468
3 203 4.24501
4 165 6.63816
4 198 6.28087
1 80 2.01174
1 72 1.94824
1 68 1.26905
1 126 2.62248
5 242 7.18062
5 216 8.70121
5 249 5.42053
7 328 13.6379
1 109 2.83006
1 113 2.38732
1 110 2.54968
1 108 2.89161
1 105 2.43987
1 112 2.49704
1 111 2.55128
1 121 2.93682
1 124 3.06937
1 120 2.9223
1 120 2.75881
1 128 2.90296
1 139 3.70595
1 131 3.23167
1 130 3.19999
2 167 4.40351
2 139 3.27338
2 135 3.84383
2 137 3.33335
2 131 3.24324
2 150 3.74075
2 148 4.39618
2 145 4.11988
2 141 3.64262
2 141 3.23247
2 154 3.40893
2 156 3.96721
2 158 4.36504
2 167 4.44305
2 163 4.82983
2 164 4.37847
2 140 3.7129
2 170 4.46979
2 147 3.96729
2 187 4.91685
2 205 6.04175
2 147 3.92696
3 173 4.79426
3 183 5.52824
3 199 6.37098
3 224 7.61552
3 248 8.31091
5 312 10.3429
5 279 7.91546
5 266 8.22123
5 264 7.89759
5 257 7.37266
5 245 7.71829
5 214 6.82313
6 232 6.45119
6 228 6.33873
6 287 9.08729
6 285 8.98284
6 289 8.97421
6 282 8.62414
6 287 9.71314
6 288 10.1217
6 285 8.00803
6 280 9.17802
6 281 9.87454
6 240 7.25682
6 225 6.85174
6 280 8.6566
6 285 8.82446
6 285 8.89398
6 299 9.69147
6 272 8.57014
6 296 9.20085
6 295 9.15477
6 299 10.6142
6 299 9.51603
6 306 9.32514
6 314 10.1612
6 230 6.30047
6 239 7.94467
6 235 7.00212
6 248 7.80854
6 252 6.92365
6 253 5.20927
6 258 8.26991
6 254 7.78103
6 252 8.56737
6 261 7.84366
6 261 8.31838
6 269 9.09288
6 260 8.00401
6 269 7.58855
6 263 7.73843
6 260 6.9814
6 279 8.4478
6 273 7.88975
6 271 8.24368
