"Date" "CSpd" "Spd1" "Spd2" "Spd3" "Spd4" "Spd1Lag1" "Spd2Lag1" "Spd3Lag1" "Spd4Lag1" "Spd1sin1" "Spd1cos1" "bin1" "Dir1"
"2002/1/1/6" 7.1 7.2176 6.2778 7.5920 5.9713 5.9666 8.1559 6.6031 7.7464 -7.1116788 1.231980 14 312.76
"2002/1/1/12" 7.8 7.9405 5.4041 6.7374 6.6001 7.2176 6.2778 7.5920 5.9713 6.4461005 -4.636737 15 328.92
"2002/1/1/18" 6.9 6.0174 4.0083 6.5218 5.2374 7.9405 5.4041 6.7374 6.6001 -4.0218108 4.475951 16 338.56
"2002/1/2/0" 5.5 6.1646 4.7613 7.2389 5.8825 6.0174 4.0083 6.5218 5.2374 5.9637176 1.560886 16 346.89
"2002/1/2/6" 3.1 1.7687 5.2466 4.0083 4.1099 6.1646 4.7613 7.2389 5.8825 -1.7292768 0.371351 14 312.80
"2002/1/2/12" 6.8 4.6471 7.7972 4.0039 5.4075 1.7687 5.2466 4.0083 4.1099 -4.4335717 -1.392473 10 205.47
"2002/1/2/18" 11.4 10.8734 9.9794 7.0073 7.4036 4.6471 7.7972 4.0039 5.4075 -2.4415827 -10.595730 10 204.43
"2002/1/3/0" 12.9 11.7198 12.8308 7.8057 9.9243 10.8734 9.9794 7.0073 7.4036 6.9123403 9.464315 8 176.56
"2002/1/3/6" 13.5 13.0118 10.3413 14.7671 11.4755 11.7198 12.8308 7.8057 9.9243 -4.8880888 12.058753 10 206.96
"2002/1/3/12" 9.6 6.3998 6.3128 13.2885 9.2469 13.0118 10.3413 14.7671 11.4755 -6.0559101 2.069636 10 218.67
"2002/1/3/18" 8.0 8.2706 7.7035 10.4291 7.5699 6.3998 6.3128 13.2885 9.2469 -6.1086862 -5.575552 12 255.30
"2002/1/4/0" 8.3 8.3522 7.5953 9.4864 6.1977 8.2706 7.7035 10.4291 7.5699 -8.3164609 -0.771831 13 281.08
"2002/1/4/6" 8.8 7.9027 8.1916 7.3546 5.9973 8.3522 7.5953 9.4864 6.1977 -4.2413985 6.668074 13 288.46
"2002/1/4/12" 6.1 6.7136 5.6617 5.7528 4.3907 7.9027 8.1916 7.3546 5.9973 -3.8992498 5.465188 14 294.69
"2002/1/4/18" 8.4 9.6341 8.6076 6.7204 6.9361 6.7136 5.6617 5.7528 4.3907 -8.5380262 -4.462958 15 318.39
"2002/1/5/0" 8.5 8.7918 10.1225 8.4278 8.3925 9.6341 8.6076 6.7204 6.9361 6.6310783 -5.772742 14 303.88
"2002/1/5/6" 9.6 10.2506 11.3576 8.6582 9.5379 8.7918 10.1225 8.4278 8.3925 10.2434622 0.382468 13 290.56
"2002/1/5/12" 10.4 10.8894 11.1834 11.9531 9.8999 10.2506 11.3576 8.6582 9.5379 8.2576679 7.098588 15 315.02
"2002/1/5/18" 10.0 7.6393 7.7989 8.3159 7.6004 10.8894 11.1834 11.9531 9.8999 -3.1160752 6.974882 13 276.04
"2002/1/6/0" 10.6 8.2217 10.4808 8.2000 9.6435 7.6393 7.7989 8.3159 7.6004 -0.5941350 -8.200205 14 311.09
"2002/1/6/6" 8.9 7.4820 8.2928 8.2809 8.6850 8.2217 10.4808 8.2000 9.6435 0.7016764 7.449025 14 307.97
"2002/1/6/12" 9.4 9.2628 8.0661 8.6832 7.5014 7.4820 8.2928 8.2809 8.6850 7.9902181 -4.685710 15 335.11
"2002/1/6/18" 8.8 4.8476 1.6653 6.8708 3.9079 9.2628 8.0661 8.6832 7.5014 -4.2097523 2.403583 16 338.24
"2002/1/7/0" 6.1 4.4194 9.8956 6.0084 5.1062 4.8476 1.6653 6.8708 3.9079 -3.3781799 -2.849385 10 217.64
"2002/1/7/6" 13.5 11.3922 11.5572 9.0388 11.3764 4.4194 9.8956 6.0084 5.1062 10.9626933 3.098641 11 227.49
"2002/1/7/12" 11.5 10.6574 12.6854 13.2247 10.3214 11.3922 11.5572 9.0388 11.3764 -10.6403241 -0.603057 12 249.70
"2002/1/7/18" 9.9 9.2053 10.7829 9.6758 8.6920 10.6574 12.6854 13.2247 10.3214 -4.4762111 -8.043698 12 261.26
"2002/1/8/0" 10.5 11.2537 12.8981 9.5194 8.9125 9.2053 10.7829 9.6758 8.6920 -8.4558244 7.425954 13 275.61
"2002/1/8/6" 11.7 13.2537 11.6704 12.7607 9.2638 11.2537 12.8981 9.5194 8.9125 -9.3686913 -9.374870 13 286.67
"2002/1/8/12" 11.2 8.6108 10.2016 7.8145 6.8684 13.2537 11.6704 12.7607 9.2638 0.1434594 8.609605 13 282.76
"2002/1/8/18" 13.5 13.8014 16.0498 12.7218 12.5478 8.6108 10.2016 7.8145 6.8684 -11.6651567 7.375823 12 269.17
"2002/1/9/0" 13.0 10.8876 16.8237 13.0639 14.7462 13.8014 16.0498 12.7218 12.5478 8.7913837 6.422726 13 277.40
"2002/1/9/6" 13.7 16.5845 15.3298 15.4315 13.6780 10.8876 16.8237 13.0639 14.7462 16.0578760 -4.146114 13 290.85
"2002/1/9/12" 11.9 9.5704 12.3492 11.9761 12.9431 16.5845 15.3298 15.4315 13.6780 6.3126654 7.193248 14 296.03
"2002/1/9/18" 8.9 11.3460 12.5092 12.7337 11.7710 9.5704 12.3492 11.9761 12.9431 -1.2667802 -11.275060 13 292.28
"2002/1/10/0" 7.8 10.9086 13.9277 13.6833 14.7266 11.3460 12.5092 12.7337 11.7710 -0.9032304 10.871142 14 301.51
"2002/1/10/6" 10.5 11.7165 10.5457 11.1879 9.4883 10.9086 13.9277 13.6833 14.7266 -0.4651334 11.707264 14 295.27
"2002/1/10/12" 12.0 11.4775 11.5000 11.5375 11.5602 11.7165 10.5457 11.1879 9.4883 -5.1193355 -10.272556 14 311.48
"2002/1/10/18" 9.4 8.4952 7.6675 9.1596 7.4287 11.4775 11.5000 11.5375 11.5602 8.1392437 2.433338 14 296.59
"2002/1/11/0" 7.5 5.7006 9.3530 8.6321 8.5462 8.4952 7.6675 9.1596 7.4287 -4.6849527 -3.247778 12 268.00
"2002/1/11/6" 9.0 10.6961 9.5207 10.0557 8.1846 5.7006 9.3530 8.6321 8.5462 -1.7776222 10.547351 13 270.01
"2002/1/11/12" 7.6 6.0895 9.3739 5.8285 8.3522 10.6961 9.5207 10.0557 8.1846 -5.3379010 -2.930669 14 299.52
"2002/1/11/18" 10.9 12.5194 11.8039 9.4046 7.3362 6.0895 9.3739 5.8285 8.3522 -9.5408218 8.106053 13 288.16
"2002/1/12/0" 16.4 16.9452 16.1473 14.4411 13.9943 12.5194 11.8039 9.4046 7.3362 6.0838389 -15.815395 15 329.50
"2002/1/12/6" 15.9 14.7786 13.4344 15.0448 13.0238 16.9452 16.1473 14.4411 13.9943 14.7048595 -1.474491 15 315.83
"2002/1/12/12" 11.3 11.6801 14.0407 14.3825 15.0863 14.7786 13.4344 15.0448 13.0238 -1.7355425 -11.550438 15 317.45
"2002/1/12/18" 6.8 3.4453 1.6753 6.4401 6.3520 11.6801 14.0407 14.3825 15.0863 3.2895916 -1.024050 12 253.20
"2002/1/13/0" 8.7 10.0276 10.7922 7.1171 8.4577 3.4453 1.6753 6.4401 6.3520 7.0804258 -7.100728 9 184.57
"2002/1/13/6" 4.7 6.2754 5.8792 8.9248 7.4991 10.0276 10.7922 7.1171 8.4577 3.5896125 5.147361 11 239.37
"2002/1/13/12" 4.2 8.2301 3.3230 1.4303 9.7290 6.2754 5.8792 8.9248 7.4991 6.6525987 -4.845356 14 297.51
"2002/1/13/18" 5.3 10.6847 6.9699 3.5043 11.4138 8.2301 3.3230 1.4303 9.7290 -9.2105544 5.415579 14 313.12
"2002/1/14/0" 9.7 15.6620 6.7584 8.7463 10.8467 10.6847 6.9699 3.5043 11.4138 8.0254263 13.449564 16 339.83
"2002/1/14/6" 9.9 14.9993 6.8773 11.1913 6.1573 15.6620 6.7584 8.7463 10.8467 6.4436119 -13.544699 15 323.14
"2002/1/14/12" 12.0 15.7002 8.6389 14.4485 3.5100 14.9993 6.8773 11.1913 6.1573 5.0984506 14.849312 14 314.49
"2002/1/14/18" 13.9 14.3144 10.2314 11.0535 3.7774 15.7002 8.6389 14.4485 3.5100 1.3051196 -14.254779 14 298.36
"2002/1/15/0" 15.2 13.2610 11.2167 11.6501 7.9213 14.3144 10.2314 11.0535 3.7774 -2.9725733 12.923542 14 307.65
"2002/1/15/6" 13.2 13.4437 10.6580 13.5860 10.9767 13.2610 11.2167 11.6501 7.9213 6.2182498 -11.919163 15 316.82
"2002/1/15/12" 8.2 7.8656 8.1508 8.0179 8.3269 13.4437 10.6580 13.5860 10.9767 -7.6370524 -1.882311 15 318.63
"2002/1/15/18" 4.3 2.2458 2.3985 4.7169 3.4657 7.8656 8.1508 8.0179 8.3269 -1.8578193 -1.261794 12 249.16
"2002/1/16/0" 0.9 1.7095 2.0081 3.0802 1.5011 2.2458 2.3985 4.7169 3.4657 1.7090604 -0.038767 13 290.62
"2002/1/16/6" 5.5 7.2095 7.2755 6.3093 4.6370 1.7095 2.0081 3.0802 1.5011 1.3288238 -7.085980 12 266.85
"2002/1/16/12" 8.7 8.5995 8.5827 5.9006 7.3389 7.2095 7.2755 6.3093 4.6370 -1.3443118 8.493776 13 270.02
"2002/1/16/18" 9.5 10.1866 7.9322 7.9412 4.0592 8.5995 8.5827 5.9006 7.3389 7.8942679 6.437962 13 283.63
"2002/1/17/0" 8.7 8.4313 9.2677 6.2375 6.6721 10.1866 7.9322 7.9412 4.0592 6.1902592 -5.724291 14 303.91
"2002/1/17/6" 6.6 6.6694 6.7473 7.6412 7.9799 8.4313 9.2677 6.2375 6.6721 5.0442146 -4.363118 14 310.16
