logPPgdp logFertility Purban
Afghanistan 6.61470984411521 2.76553474636298 22
Albania 10.3630396302565 1.18903382439002 43
Algeria 10.8008998999203 1.48542682717024 58
Angola 9.52943055414615 2.84799690655495 35
Argentina 12.8063482267123 1.28688114778816 88
Armenia 9.4241662888181 0.201633861169650 67
Australia 14.1975238782578 0.765534746362977 91
Austria 14.5055634763606 0.356143810225275 67
Azerbaijan 9.44086916761087 1.07038932789140 52
Bahamas 13.8587580999354 1.19534759832222 89
Bahrain 13.5521887595571 1.41142624572647 93
Bangladesh 8.43045255166553 1.790772037862 26
Barbados 13.1760172747579 0.584962500721156 51
Belarus 10.2491134527137 0.263034405833794 70
Belgium 14.4480517596277 0.7311832415722 97
Belize 11.6087168540206 1.65535182861255 48
Benin 8.49585502688717 2.50080205305716 43
Bermuda 15.4440766338496 0.739848102699327 100
Bhutan 7.91288933622996 2.32768736417605 7
Bolivia 9.868822554775 1.93357263826102 63
Bosnia-Herzegovina 10.1254134704833 0.37851162325373 43
Botswana 11.4878400338231 1.88752527074159 49
Brazil 11.4958550268872 1.14404636961671 82
Brunei 13.6021188871043 1.31034012061215 73
Bulgaria 10.6635581042173 0.137503523749935 67
Burkina.Faso 7.66533591718518 2.73984810269933 17
Burundi 6.74146698640115 2.76553474636298 9
Cambodia 7.86418614465428 2.25398926623079 18
Cameroon 9.12153351734003 2.20476675065461 50
Canada 14.4502446977909 0.565597175854225 79
Cape.Verde 10.2980625677190 1.72246602447109 64
Central.African.Rep 7.9188632372746 2.29865831556452 42
Chad 6.98868468677217 2.73335434061383 24
Chile 11.9628960053373 1.23266075679027 86
China 9.8423503434138 0.871843648509318 37
Hong.Kong 14.5203117437552 0 100
Macao 13.8018093844437 0.137503523749935 99
Colombia 10.8917837032183 1.38956681176273 75
Comoros 8.1189410727235 2.29278174922785 34
Congo 9.60547951806167 2.65306001710456 66
Cook.Islands 12.0993478104032 1.80735492205760 59
Costa.Rica 12.0182001788132 1.18903382439002 60
Cote.dIvoire 9.3151495622563 2.24184018356467 44
Croatia 12.1541852092653 0.722466024471091 58
Cuba 11.3134499409631 0.632268215499513 76
Cyprus 13.4829339728023 0.925999418556223 70
Czech.Rep 12.4254781876453 0.214124805352847 75
.Congo 7.10852445677817 2.74416109557041 31
Denmark 14.8853627305976 0.823749360308273 85
Djibouti 9.677719641641 2.51096191927738 84
Dominican.Rep 11.2877123795494 1.43829285157915 66
Ecuador 10.4767462039395 1.46466826700344 63
Egypt 10.4408691676109 1.71808758396052 43
El.Salvador 11.0960562391809 1.52606881166759 62
Equatorial.Guinea 11.9439799143437 2.55826763405574 49
Eritrea 7.467605550083 2.44095219802964 19
Estonia 11.9693865213423 0.286881147788162 69
Ethiopia 6.49185309632967 2.61823865559545 16
Fiji 10.9985904297453 1.52606881166759 50
Finland 14.5176693881338 0.790772037862 59
France 14.4245599837423 0.918386234446348 76
Fr.Guiana 12.9175585585104 1.73552217729654 75
Fr.Polynesia 13.7618628408638 1.28688114778816 53
Gabon 11.7223806351638 1.99638874644762 82
Gambia 8.22881869049588 2.23266075679027 31
Georgia 9.23122118071119 0.485426827170242 57
Germany 14.4523699548031 0.432959407276106 88
Ghana 8.04984854945056 2.03913839390696 36
Greece 13.3889590362329 0.344828496997441 60
Guadeloupe 13.3335746774581 1.07038932789140 100
Guatemala 10.7456743240021 2.14077865578280 40
Guinea 8.55074678538324 2.54101915313356 28
Guinea-Bissau 7.44294349584873 2.82781902461732 32
Guyana 9.8703647195834 1.20789285164133 36
Haiti 8.7515440590891 1.99276843076892 37
Honduras 9.90689059560852 1.89530262133331 54
Hungary 12.3467907217507 0.263034405833794 65
Iceland 14.7356089076578 0.963474123974886 93
India 8.86727873970966 1.58976348698498 28
Indonesia 9.40514146313634 1.23266075679027 42
Iran 12.4627578656604 1.22032995487956 65
Ireland 14.7059023274952 0.925999418556223 59
Israel 14.1996723448364 1.43295940727611 92
Italy 14.2082343583398 0.298658315564515 67
Jamaica 11.5459297690855 1.23878685958712 57
Japan 14.9899266305599 0.400537929583729 79
Jordan 10.7532167491790 1.83592407425437 79
Kazakhstan 10.4928546201747 0.963474123974886 56
Kenya 8.51963625284321 2 34
Kiribati 8.8703647195834 1.92599941855622 39
N.Korea 9.15734693536284 0.495695162624069 61
S.Korea 13.1284777168733 1.01435529297707 83
Kuwait 14.0346270391973 1.41142624572647 96
Kyrgyzstan 8.25738784269265 1.40053792958373 34
Laos 8.33985000288462 2.25701061820602 20
Latvia 11.6492561775173 0.137503523749935 60
Lebanon 12.3125993788626 1.12432813500220 90
Lesotho 8.71080643369935 1.94110631094643 29
Liberia 8 2.76553474636298 46
Libya 12.3159986226286 1.59454854955035 88
Liechtenstein 15.0744760007345 0.713695814843359 22
Lithuania 11.7490313820402 0.321928094887362 69
Luxembourg 15.3934239769208 0.790772037862 92
Madagascar 8.1189410727235 2.51096191927738 30
Malawi 7.01122725542325 2.60880924267552 15
Malaysia 11.8719052376592 1.53605290024021 58
Maldives 10.9270371687203 2.41413553298445 28
Mali 7.64385618977472 2.80735492205760 31
Malta 13.1744576042916 0.823749360308273 91
Marshall.Is 10.9203528554151 1.87970576628229 66
Martinique 13.3884209681461 0.925999418556223 95
Mauritania 8.46352437327118 2.53356334821451 59
Mauritius 11.8868397058844 0.963474123974886 42
Mexico 12.5863706951140 1.32192809488736 75
Micronesia 11.1130909834424 1.92599941855622 29
Mongolia 8.70390357344466 1.27500704749987 57
Morocco 10.1611318829843 1.45943161863730 56
Mozambique 7.61470984411521 2.49313492230550 33
Namibia 10.6786001390995 2.18903382439002 31
Nepal 7.82017896241519 2.09085343045111 12
Netherlands 14.5377644048498 0.782408564927373 90
Neth.Antilles 13.5685499481612 1.03562390973072 69
New.Caledonia 13.943064208162 1.29278174922785 78
New.Zealand 13.6866099507519 1.00719550140420 86
Nicaragua 8.93369065495223 1.90689059560852 57
Niger 7.4594316186373 3 21
Nigeria 8.7648715907361 2.43829285157915 45
Norway 15.1534332799727 0.84799690655495 75
Oman 12.8573978917013 2.31034012061215 77
Pakistan 8.70735913208088 2.34482849699744 33
Palau 12.593157658103 1.58496250072116 69
Panama 11.7274950690254 1.43295940727611 57
Papua.New.Guinea 9.09011241966429 2.03210084316702 18
Paraguay 10.3286749273279 1.94110631094643 57
Peru 11.0035179121086 1.51601514700366 73
Philippines 9.85174904141606 1.66902676550963 59
Poland 12.1851851668203 0.333423733725192 63
Portugal 13.4178525148859 0.53605290024021 66
Puerto.Rico 14.2200003719044 0.918386234446348 76
Qatar 14.8961904738856 1.68706068833989 93
Moldova 8.43462822763673 0.485426827170242 41
Reunion 13.1655351413779 1.20163386116965 72
Romania 10.7296207435530 0.400537929583729 55
Russia 11.0627207671650 0.189033824390017 73
Rwanda 7.67948009950545 2.52105073690096 6
Saint.Kitts.and.Nevis 13.0406322005623 1.26903314645524 34
Saint.Lucia 12.2859801059282 1.18269229751619 38
St.Vincent/Grenadines 11.5216004397237 1.15704371014558 56
Samoa 10.4532706340106 2.04264433740849 22
Sao.Tome.and.Principe 8.28540221886225 1.99638874644762 48
Saudi.Arabia 12.9151324489507 2.17951105027151 87
Senegal 8.90388184573618 2.31324585178756 48
Serbia.and.Montenegro. 9.97727992349992 0.722466024471091 52
Seychelles 12.9384769386664 1 65
Sierra.Leone 7.35755200461808 2.70043971814109 37
Singapore 14.3411713114910 0.443606651475615 100
Slovakia 11.8792003179474 0.356143810225275 58
Slovenia 13.2080819099811 0.189033824390017 49
Solomon.Islands 9.56985560833095 2.14404636961671 20
Somalia 6.78135971352466 2.85798099512757 28
South.Africa 11.3162815317462 1.38404980679516 58
Spain 13.7970535206298 0.201633861169650 78
Sri.Lanka 9.69174351917128 1.00719550140420 23
Sudan 8.55458885167764 2.13422093976063 37
Suriname 10.9403135971460 1.29278174922785 75
Swaziland 10.2336196767597 2.18269229751619 27
Sweden 14.5313814605163 0.713695814843359 83
Switzerland 15.0721744839310 0.495695162624069 67
Syria 12.2807707701306 1.7311832415722 52
Tajikistan 7.4262647547021 1.61353165291793 28
Thailand 10.8595347863827 0.948600847493356 20
Macedonia 10.7507069862249 0.925999418556223 59
Timor-Leste 8.77478705960117 1.94485844580754 8
Togo 8.09275714091985 2.41413553298445 34
Tonga 10.3264294871223 1.89141918684608 33
Trinidad.and.Tobago 12.7349212677053 0.632268215499513 75
Tunisia 11.0202855008446 1.00719550140420 66
Turkey 11.0606959316876 1.28095631383106 66
Turkmenistan 10.3026389237876 1.43295940727611 45
Uganda 7.90086680798075 2.82781902461732 15
Ukraine 9.57553924683453 0.201633861169650 68
United.Arab.Emirates 14.2743781532464 1.49569516262407 87
United.Kingdom 14.5618845685722 0.678071905112638 90
Tanzania 8.0389189892923 2.35332329116290 33
USA 15.0863021187826 1.07724299893246 77
Uruguay 12.4288835520102 1.20163386116965 92
Uzbekistan 8.70735913208088 1.28688114778816 37
Vanuatu 10.0834793273318 2.04614178164472 22
Venezuela 12.2903068962579 1.44360665147561 87
Viet.Nam 8.7004397181411 1.20163386116965 25
Yemen 8.7515440590891 2.8094144442359 25
Zambia 8.43045255166553 2.49569516262407 40
Zimbabwe 9.45738087907253 1.96347412397489 36
