D S y SPP
9.0 0.0242120 0 BF
11.0 0.0305947 0 BF
9.0 0.0305947 0 BF
9.0 0.0341815 0 BF
5.0 0.0341815 0 BF
8.0 0.0341815 0 BF
8.0 0.0341815 0 BF
6.0 0.0341815 0 BF
8.0 0.0341815 0 BF
5.0 0.0341815 0 BF
22.0 0.0345653 0 BF
6.0 0.0461334 0 BF
8.0 0.0514511 0 BF
8.0 0.0547770 0 BF
9.0 0.0547770 0 BF
10.0 0.0547770 0 BF
7.0 0.0552361 0 BF
14.0 0.0575282 0 BF
15.0 0.0575282 0 BF
17.0 0.0575282 0 BF
12.0 0.0575282 0 BF
8.0 0.0687957 0 BF
14.0 0.0693424 0 BF
12.0 0.0693424 0 BF
18.0 0.0710720 0 BF
13.0 0.0710720 0 BF
8.0 0.0726807 0 BF
7.0 0.0726807 0 BF
6.0 0.0730598 0 BF
5.0 0.0730598 0 BF
9.0 0.0730598 0 BF
14.0 0.0773118 0 BF
11.0 0.0805133 0 BF
7.0 0.0818451 0 BF
6.0 0.0818451 0 BF
5.0 0.0846147 0 BF
6.0 0.0846147 0 BF
5.0 0.0846147 0 BF
5.0 0.0846147 0 BF
10.0 0.0849970 0 BF
5.0 0.0879988 0 BF
6.0 0.0879988 0 BF
6.0 0.0879988 0 BF
5.0 0.0879988 0 BF
5.0 0.0879988 0 BF
8.0 0.0879988 0 BF
16.0 0.0894350 0 BF
10.0 0.0894350 0 BF
12.0 0.0894350 1 BF
5.0 0.0894688 0 BF
9.0 0.0914889 0 BF
12.0 0.0914889 0 BF
5.0 0.0914889 0 BF
10.0 0.0914889 0 BF
7.0 0.0914889 0 BF
5.0 0.0943459 0 BF
7.0 0.0943459 0 BF
5.0 0.0943459 0 BF
14.0 0.0958845 0 BF
5.0 0.0965822 0 BF
17.0 0.0994145 0 BF
5.0 0.0995897 0 BF
11.0 0.0995897 0 BF
6.0 0.0998312 0 BF
7.0 0.0998312 0 BF
7.0 0.0998312 0 BF
13.0 0.1025400 1 BF
25.0 0.1036890 0 BF
7.0 0.1059930 0 BF
8.0 0.1059930 0 BF
14.0 0.1076440 0 BF
19.0 0.1077690 0 BF
17.0 0.1077690 0 BF
14.0 0.1148780 0 BF
13.0 0.1148780 1 BF
6.0 0.1148780 0 BF
6.0 0.1156340 0 BF
6.0 0.1156340 0 BF
8.0 0.1183610 0 BF
22.0 0.1200540 1 BF
6.0 0.1205340 0 BF
9.0 0.1205340 0 BF
11.0 0.1206290 0 BF
6.0 0.1284770 0 BF
7.0 0.1293800 0 BF
5.0 0.1293800 0 BF
7.0 0.1293800 0 BF
7.0 0.1316300 0 BF
11.0 0.1317180 0 BF
11.0 0.1320510 0 BF
13.0 0.1320930 0 BF
10.0 0.1325850 0 BF
10.0 0.1325850 0 BF
7.0 0.1357510 1 BF
9.0 0.1357510 1 BF
5.0 0.1380330 0 BF
5.0 0.1380330 0 BF
5.0 0.1380330 0 BF
6.0 0.1442170 0 BF
6.0 0.1454460 0 BF
9.0 0.1454460 0 BF
