Marsh Type Month Cl
1 Isolated 4 5.4400
1 Isolated 6 2.1600
2 Isolated 4 6.8520
2 Isolated 6 5.8620
2 Isolated 8 17.2280
2 Isolated 10 18.0000
3 Roadside 4 60.6100
3 Roadside 6 70.2480
3 Roadside 8 55.7060
3 Roadside 10 67.6740
4 Roadside 4 40.9000
4 Roadside 6 38.6630
4 Roadside 8 55.6780
4 Roadside 10 42.4240
5 Isolated 4 7.9767
5 Isolated 6 6.9871
5 Isolated 8 5.4600
5 Isolated 10 7.8860
6 Isolated 4 1.9740
6 Isolated 6 1.2400
6 Isolated 8 1.6140
6 Isolated 10 8.4620
7 Roadside 4 51.7320
7 Roadside 6 57.2120
7 Roadside 8 67.0960
7 Roadside 10 74.9640
8 Roadside 4 76.6850
8 Roadside 6 67.8570
8 Roadside 8 85.1300
8 Roadside 10 99.5480
9 Roadside 4 30.0200
9 Roadside 6 34.6860
