Cond Velocity Angle BallWt BallDia Dist
Head 149.3 50.2 141.100 2.84 329.3
Head 149.9 50.0 140.330 2.84 351.5
Head 153.2 49.5 140.099 2.81 343.9
Head 154.1 50.1 140.099 2.81 356.8
Head 155.9 50.0 140.099 2.81 350.1
Head 154.1 49.1 140.980 2.86 355.8
Head 156.3 49.9 140.980 2.86 356.8
Head 151.7 50.0 140.980 2.86 346.8
Head 154.1 50.2 140.099 2.81 338.5
Head 160.2 50.8 140.567 2.88 364.4
Head 157.3 50.6 140.980 2.86 349.8
Head 157.1 49.1 140.567 2.88 358.8
Head 158.8 49.6 140.980 2.86 359.3
Head 160.9 50.9 140.567 2.88 373.8
Head 156.7 50.6 140.980 2.86 349.6
Head 155.8 49.4 141.855 2.83 347.6
Head 154.5 50.2 141.855 2.83 340.1
Head 155.6 50.9 140.980 2.86 339.1
Head 155.3 50.7 140.980 2.86 352.6
Tail 157.4 49.4 140.980 2.86 371.1
Tail 155.7 49.1 140.099 2.81 364.6
Tail 154.7 50.6 140.980 2.86 361.1
Tail 156.3 48.3 140.099 2.81 356.8
Tail 156.4 49.2 140.980 2.86 369.2
Tail 155.7 49.0 140.099 2.81 346.3
Tail 155.7 50.3 140.980 2.86 363.3
Tail 155.4 49.6 140.099 2.81 349.9
Tail 153.8 50.1 140.980 2.86 349.5
Tail 154.8 49.8 140.980 2.86 363.4
Tail 156.0 51.0 140.099 2.81 348.5
Tail 153.5 49.5 140.980 2.86 351.5
Tail 154.5 49.9 140.099 2.81 344.8
Tail 152.1 51.0 140.099 2.81 357.1
Tail 153.6 50.8 141.855 2.83 352.4
