Date Cond Angle Velocity BallWt BallDia Dist
March Headwind 49.1 154.1 140.98 2.86 355.8
March Headwind 49.1 157.1 140.567 2.88 358.8
March Headwind 49.4 155.8 141.855 2.83 347.6
March Headwind 49.5 153.2 140.099 2.81 343.9
March Headwind 49.6 158.8 140.98 2.86 359.3
March Headwind 49.9 156.3 140.98 2.86 356.8
March Headwind 50 155.9 140.099 2.81 350.1
March Headwind 50 149.9 140.33 2.84 351.5
March Headwind 50 151.7 140.98 2.86 346.8
March Headwind 50.1 154.1 140.099 2.81 356.8
March Headwind 50.2 154.1 140.099 2.81 338.5
March Headwind 50.2 154.5 141.855 2.83 340.1
March Headwind 50.2 149.3 141.1 2.84 329.3
March Headwind 50.6 156.7 140.98 2.86 349.6
March Headwind 50.6 157.3 140.98 2.86 349.8
March Headwind 50.7 155.3 140.98 2.86 352.6
March Headwind 50.8 160.2 140.567 2.88 364.4
March Headwind 50.9 155.6 140.98 2.86 339.1
March Headwind 50.9 160.9 140.567 2.88 373.8
March Tailwind 48.3 156.3 140.099 2.81 356.8
March Tailwind 49 155.7 140.099 2.81 346.3
March Tailwind 49.1 155.7 140.099 2.81 364.6
March Tailwind 49.2 156.4 140.98 2.86 369.2
March Tailwind 49.4 157.4 140.98 2.86 371.1
March Tailwind 49.5 153.5 140.98 2.86 351.5
March Tailwind 49.6 155.4 140.099 2.81 349.9
March Tailwind 49.8 154.8 140.98 2.86 363.4
March Tailwind 49.9 154.5 140.099 2.81 344.8
March Tailwind 50.1 153.8 140.98 2.86 349.5
March Tailwind 50.3 155.7 140.98 2.86 363.3
March Tailwind 50.6 154.7 140.98 2.86 361.1
March Tailwind 50.8 153.6 141.855 2.83 352.4
March Tailwind 51 156 140.099 2.81 348.5
March Tailwind 51 152.1 140.099 2.81 357.1
May Headwind 35.6 141.2 143.031 2.85 334.7
May Headwind 35.7 140.3 141.475 2.85 335.7
May Headwind 35.7 127 143.031 2.85 287.6
May Headwind 35.8 126.2 141.855 2.83 296
May Headwind 35.8 144.4 141.96 2.84 354
May Headwind 35.8 143.9 141.96 2.84 356.2
May Headwind 35.8 130.1 141.96 2.84 315.9
May Headwind 35.8 144.2 141.475 2.85 345.4
May Headwind 35.8 128.3 143.031 2.85 297.7
May Headwind 35.8 127.8 143.031 2.85 291.7
May Headwind 42.7 126.6 141.475 2.85 296
May Headwind 42.7 142.7 141.327 2.86 341.3
May Headwind 42.7 145 141.327 2.86 361.1
May Headwind 42.8 126.7 141.855 2.83 307.2
May Headwind 42.8 128.5 141.475 2.85 301.8
May Headwind 42.8 143.1 141.327 2.86 330
May Headwind 42.9 123.6 141.855 2.83 304.8
May Headwind 42.9 142 141.96 2.84 355.9
May Headwind 42.9 126.2 141.327 2.86 301.9
May Headwind 43 142.9 141.855 2.83 343.8
May Headwind 50 159.4 141.96 2.84 383.4
May Headwind 50.1 161.6 141.96 2.84 379.3
May Headwind 50.3 128.1 141.855 2.83 281.3
May Headwind 50.3 160.4 141.96 2.84 364.7
May Headwind 50.3 161.9 143.031 2.85 365.3
May Headwind 50.3 128.4 143.031 2.85 273.9
May Headwind 50.4 127.5 143.031 2.85 275.5
May Headwind 50.4 129.6 141.475 2.85 288
May Headwind 50.4 124.8 141.327 2.86 275.1
May Headwind 51.3 162.3 141.855 2.83 381.4
May Tailwind 35.6 145 141.475 2.85 348.5
May Tailwind 35.6 144.6 141.475 2.85 345.8
May Tailwind 35.6 144.2 141.475 2.85 342.7
May Tailwind 35.6 126.8 141.513 2.88 306.8
May Tailwind 35.7 127.3 141.475 2.85 293
May Tailwind 35.7 128 141.327 2.86 292.7
May Tailwind 35.7 144.1 141.513 2.88 360.9
May Tailwind 35.7 144.8 141.513 2.88 359
May Tailwind 35.8 128.2 141.327 2.86 307.6
May Tailwind 35.9 128.1 141.513 2.88 297.5
May Tailwind 42.6 142.1 141.855 2.83 347.5
May Tailwind 42.6 142.5 141.855 2.83 358.6
May Tailwind 42.6 127.9 141.96 2.84 303.3
May Tailwind 42.6 149.5 143.031 2.85 352.9
May Tailwind 42.6 145.5 141.475 2.85 350.2
May Tailwind 42.6 144.1 143.031 2.85 345.6
May Tailwind 42.6 128.7 141.327 2.86 298
May Tailwind 42.6 128.3 141.327 2.86 308.7
May Tailwind 42.7 153 141.855 2.83 348.3
May Tailwind 42.7 128.1 141.475 2.85 301.4
May Tailwind 42.7 121.8 141.327 2.86 288.4
May Tailwind 49.8 160.4 141.327 2.86 362.7
May Tailwind 49.9 162.1 141.855 2.83 371.6
May Tailwind 49.9 127.8 143.031 2.85 286
May Tailwind 49.9 128.2 141.475 2.85 281.9
May Tailwind 49.9 159.8 141.475 2.85 363.1
May Tailwind 49.9 160.5 141.327 2.86 366.8
May Tailwind 49.9 126.5 141.327 2.86 283.9
May Tailwind 50 160.7 141.96 2.84 375.3
May Tailwind 50 162.5 141.96 2.84 374.1
May Tailwind 50 129.5 141.475 2.85 287.2
May Tailwind 50 127.6 141.327 2.86 285.4
