YR1 Early Late
1900 3 44.5
1901 15.8 12.5
1902 13.1 36.8
1903 4 7.6
1904 1 28.7
1905 10.5 28.3
1906 27.5 49.7
1907 7 15.1
1908 28.7 51.2
1909 19.9 5.9
1910 6.1 33
1911 14.2 54.1
1912 10.3 28.2
1913 41.8 9.4
1914 0.8 28.3
1915 12 11.9
1916 33.5 48.7
1917 12.1 39.9
1918 17.5 14.3
1919 23.4 53.9
1920 13.6 20.8
1921 14.8 23.7
1922 12.3 56.3
1923 14 41.4
1924 10.5 10.9
1925 33 14.3
1926 18.6 32.7
1927 12.4 33
1928 22.3 25.4
1929 20.4 13.4
1930 10.1 35.1
1931 9.2 23.6
1932 12.4 26.8
1933 3.3 22
1934 0.5 12.2
1935 12.5 16.5
1936 15.4 48.2
1937 19.5 21.6
1938 13.3 27.5
1939 3.9 28.5
1940 14.9 18.6
1941 14.9 44.1
1942 18.7 37.6
1943 5.2 55.4
1944 5.3 60.3
1945 4 4.5
1946 29.6 38.9
1947 28.5 34.7
1948 27.5 34.5
1949 4.2 21.5
1950 7.5 26.7
1951 21.8 24.4
1952 12.9 35.7
1953 7.1 17.2
1954 11.4 38.5
1955 16.5 46.5
1956 14.2 43.2
1957 4 28.3
1958 21.8 44.8
1959 13.4 29.4
1960 7.3 41.5
1961 16.7 38
1962 4.8 35.8
1963 9.9 34.8
1964 10.8 38.1
1965 6.2 21.2
1966 9.9 25.5
1967 30.6 26.7
1968 9.2 23.1
1969 19.7 40.6
1970 14.5 39.9
1971 33.3 21.2
1972 32.7 25.9
1973 38.4 18.9
1974 7.5 36.9
1975 32.7 28.9
1976 8.2 18.1
1977 10.3 55.1
1978 26.8 52.3
1979 54.9 59.3
1980 7.8 29.5
1981 14.6 17.6
1982 21.3 48.2
1983 35.2 48.4
1984 15.5 32.2
1985 50.8 22.2
1986 24.8 42.5
1987 29.2 60.3
1988 21.7 37.6
1989 20.8 56.4
1990 23.5 18.3
1991 18.5 32.3
1992 31.5 32
