X1 X2 X3 X4 Y
15.5 17.25 0.24 0 18.38
22.29 18.51 0.2 1 20
12.36 11.13 0.12 0 11.5
31.84 5.54 0.12 1 25
83.9 5.44 0.04 0 52.5
72.25 20.37 0.05 1 82.5
27.14 31.2 0.27 0 25
40.41 4.29 0.1 1 30.67
12.42 8.69 0.41 0 12
69.42 6.63 0.04 1 61.25
48.46 27.4 0.12 0 60
69 31.23 0.08 0 57.5
26.09 28.5 0.21 1 31
62.83 29.98 0.17 0 60
77.06 13.59 0.05 0 72.5
58.83 45.46 0.16 0 60.33
59.48 35.9 0.32 0 49.75
9 8.89 0.08 0 8.5
20.64 23.81 0.24 0 36.5
81.4 4.54 0.05 1 60
18.92 29.62 0.72 0 16.25
50.32 21.36 0.19 1 50
21.33 1.53 0.1 1 11.5
46.85 5.42 0.08 1 35
65.94 22.1 0.09 0 75
38.68 14.55 0.17 1 31.56
51.19 7.59 0.13 1 48.5
59.42 49.86 0.13 0 77.5
24.64 11.46 0.21 1 21.67
26.94 2.48 0.1 1 19.75
46.2 31.62 0.26 0 56
26.86 53.73 0.43 0 25
20 40.18 0.56 0 40
62.52 15.89 0.05 0 56.67
56 14.25 0.15 1 51.79
71.41 21.37 0.05 0 96.67
65 13.24 0.08 1 50.83
36.28 5.85 0.1 1 34.33
59.88 32.99 0.21 0 48.75
23.62 28.89 0.24 1 25.8
24.2 6.29 0.06 1 20
17.09 33.34 0.66 0 16
44.56 16.7 0.15 1 48.67
34.46 4.2 0.03 1 20.78
31.55 23.47 0.19 1 32.5
26.94 8.28 0.1 1 19
58.71 7.4 0.04 1 51.5
65.74 7.71 0.02 1 49.17
69.05 46.18 0.22 1 85
57.54 14.98 0.11 1 58.75
21.73 6.58 0.06 0 19.33
6.17 13.68 0.18 0 5
51 50.5 0.24 0 65
18.25 16.12 0.32 0 20
69.88 31.48 0.07 0 62.5
26.68 58.6 0.23 0 35
75.73 35.43 0.05 0 99.17
41.77 4.53 0.08 1 40.25
48.5 6.82 0.08 1 39.17
21.89 43.7 0.36 0 37.5
38.33 2.83 0.04 1 26.25
53.95 42.54 0.25 0 52.14
17.17 24.16 0.36 0 22.5
82 7.89 0.03 1 90
40.6 3.27 0.02 1 28
53.89 53.16 0.24 0 50
54.17 5.57 0.06 1 24.5
