Degree Rank Sex Year YSdeg Salary
1 3 0 25 35 36350
1 3 0 13 22 35350
1 3 0 10 23 28200
1 3 1 7 27 26775
0 3 0 19 30 33696
1 3 0 16 21 28516
0 3 1 0 32 24900
1 3 0 16 18 31909
0 3 0 13 30 31850
0 3 0 13 31 32850
1 3 0 12 22 27025
1 2 0 15 19 24750
1 3 0 9 17 28200
0 2 0 9 27 23712
1 3 0 9 24 25748
1 3 0 7 15 29342
1 3 0 13 20 31114
0 2 0 11 14 24742
0 2 0 10 15 22906
0 3 0 6 21 24450
0 1 0 16 23 19175
0 2 0 8 31 20525
1 3 0 7 13 27959
1 3 1 8 24 38045
1 2 0 9 12 24832
1 3 0 5 18 25400
1 2 0 11 14 24800
1 3 1 5 16 25500
0 2 0 3 7 26182
0 2 0 3 17 23725
0 1 1 10 15 21600
0 2 0 11 31 23300
0 1 0 9 14 23713
0 2 1 4 33 20690
0 2 1 6 29 22450
1 2 0 1 9 20850
1 1 1 8 14 18304
1 1 0 4 4 17095
1 1 0 4 5 16700
1 1 0 4 4 17600
1 1 0 3 4 18075
0 1 0 3 11 18000
1 2 0 0 7 20999
1 1 1 3 3 17250
1 1 0 2 3 16500
1 1 0 2 1 16094
1 1 1 2 6 16150
1 1 1 2 2 15350
1 1 0 1 1 16244
1 1 1 1 1 16686
1 1 1 1 1 15000
1 1 1 0 2 20300
