Temp C
8.5536 86.2143 
10.6613 72.3871 
12.4516 74.0968 
16.9032 68.2258 
20.5161 72.3548 
21.1613 76.4839 
24.3929 83.6429 
26.4839 74.1935 
26.5645 71.2581 
27.9828 78.2069 
32.6833 79.0667 
33.0806 71.0968 
33.7097 76.6452 
34.2903 74.4516 
36 56.9677 
37.4167 79.8333 
43.9516 79.7097 
45.2667 76.9667 
47 76 
47.1129 78.0323 
47.3833 79.8333 
48.0968 73.9032 
49.05 78.1667 
57.5 81.7097 
59.2 80.3 
61.3226 75 
61.9194 87.0323 
62.3833 89.8 
64.3667 96.4 
65.371 88.9677 
68.35 91.3333 
70.7581 91.8387 
71.129 90.9355 
72.2419 93.4516 
72.85 97.8333 
73.9194 92.4839 
74.4167 96.1333 
76.3871 89.8387 
78.0484 89.4516 
