"Plot" "Tree" "Species" "Dbh" "Height"
 2 1 "DF" 390 205
 4 2 "DF" 250 170
 5 2 "DF" 549 293
 6 1 "DF" 409 260
 10 1 "DF" 420 330
 11 5 "DF" 225 226
 20 3 "DF" 325 265
 21 4 "DF" 282 250
 22 5 "DF" 343 235
 22 8 "DF" 405 220
 27 1 "DF" 215 190
 31 3 "DF" 522 310
 33 6 "DF" 283 310
 37 3 "DF" 140 200
 42 3 "DF" 325 250
 43 6 "DF" 350 340
 43 6 "DF" 350 340
 45 4 "DF" 638 340
 48 3 "DF" 420 305
 53 2 "DF" 165 172
 55 2 "DF" 998 420
 56 3 "DF" 502 370
 70 5 "DF" 253 275
 75 1 "DF" 502 300
 79 1 "DF" 290 230
 79 2 "DF" 525 270
 80 5 "DF" 283 215
 85 2 "DF" 716 350
 90 1 "DF" 440 320
 90 2 "DF" 558 260
 90 3 "DF" 607 260
 91 3 "DF" 476 255
 92 5 "DF" 515 295
 96 1 "DF" 430 185
 98 6 "DF" 262 145
100 2 "DF" 785 370
101 1 "DF" 494 236
101 3 "DF" 463 300
104 4 "DF" 197 110
108 1 "DF" 438 179
112 4 "DF" 343 255
113 1 "DF" 239 210
113 4 "DF" 413 260
114 2 "DF" 150 165
114 3 "DF" 432 240
121 3 "DF" 267 150
124 3 "DF" 271 210
125 1 "DF" 400 210
125 3 "DF" 513 310
128 4 "DF" 201 160
136 3 "DF" 565 370
141 1 "DF" 316 205
142 1 "DF" 283 240
142 3 "DF" 522 275
142 4 "DF" 225 205
144 2 "DF" 315 220
