"Plot" "Tree" "Species" "Dbh" "Height"
 3 5 "WC" 360 207
 3 8 "WC" 380 225
 4 1 "WC" 460 180
 6 2 "WC" 290 220
 6 3 "WC" 294 320
 6 4 "WC" 685 260
 6 6 "WC" 630 330
 7 2 "WC" 466 275
 7 4 "WC" 553 300
 9 1 "WC" 271 270
 10 4 "WC" 375 298
 12 2 "WC" 151 155
 13 1 "WC" 230 200
 13 2 "WC" 320 225
 13 3 "WC" 525 290
 16 2 "WC" 750 320
 16 3 "WC" 895 350
 16 7 "WC" 425 225
 16 10 "WC" 830 350
 17 1 "WC" 390 240
 21 6 "WC" 215 175
 22 1 "WC" 389 300
 22 7 "WC" 262 210
 22 9 "WC" 199 170
 23 2 "WC" 146 110
 27 6 "WC" 686 280
 27 7 "WC" 139 125
 28 3 "WC" 487 250
 30 1 "WC" 640 270
 30 3 "WC" 243 130
 31 2 "WC" 430 290
 32 1 "WC" 272 230
 32 2 "WC" 340 230
 32 3 "WC" 404 260
 33 1 "WC" 111 95
 34 2 "WC" 449 250
 35 2 "WC" 565 275
 35 3 "WC" 311 250
 36 1 "WC" 425 270
 38 2 "WC" 177 190
 39 1 "WC" 335 200
 39 4 "WC" 405 220
 40 2 "WC" 690 300
 40 5 "WC" 465 260
 41 2 "WC" 305 210
 41 6 "WC" 305 250
 41 7 "WC" 378 280
 42 1 "WC" 497 300
 42 2 "WC" 377 280
 42 4 "WC" 262 230
 43 1 "WC" 310 260
 43 2 "WC" 385 270
 43 3 "WC" 940 360
 43 4 "WC" 1015 390
 44 1 "WC" 315 245
 44 1 "WC" 315 245
 44 4 "WC" 602 320
 45 2 "WC" 471 300
 45 3 "WC" 637 285
 46 2 "WC" 125 100
 46 3 "WC" 155 115
 47 2 "WC" 600 330
 48 1 "WC" 200 175
 51 3 "WC" 528 315
 52 1 "WC" 234 180
 53 1 "WC" 377 242
 54 2 "WC" 804 320
 55 6 "WC" 456 325
 56 1 "WC" 387 270
 57 2 "WC" 344 257
 58 1 "WC" 543 305
 59 3 "WC" 519 325
 60 1 "WC" 258 228
 60 2 "WC" 400 211
 60 3 "WC" 374 200
 64 4 "WC" 141 140
 64 6 "WC" 157 175
 64 7 "WC" 250 190
 68 2 "WC" 580 335
 68 3 "WC" 289 205
 69 1 "WC" 496 270
 69 2 "WC" 528 285
 69 3 "WC" 445 270
 70 1 "WC" 158 170
 71 1 "WC" 148 145
 71 3 "WC" 122 140
 72 1 "WC" 382 235
 73 1 "WC" 545 265
 75 2 "WC" 108 100
 76 1 "WC" 144 100
 76 2 "WC" 226 140
 77 1 "WC" 405 180
 78 1 "WC" 437 270
 80 3 "WC" 466 250
 81 1 "WC" 153 130
 81 3 "WC" 595 230
 85 1 "WC" 690 400
 86 1 "WC" 455 335
 86 2 "WC" 725 355
 87 1 "WC" 443 205
 88 1 "WC" 473 300
 88 2 "WC" 433 295
 92 1 "WC" 309 170
 93 1 "WC" 508 285
 94 1 "WC" 530 230
 97 2 "WC" 594 333
 98 1 "WC" 201 161
 99 1 "WC" 512 270
 99 3 "WC" 371 288
100 3 "WC" 101 90
103 1 "WC" 654 355
104 1 "WC" 284 193
105 1 "WC" 282 205
105 2 "WC" 222 187
105 3 "WC" 119 115
106 3 "WC" 120 128
107 1 "WC" 159 125
107 2 "WC" 270 170
107 3 "WC" 277 205
110 2 "WC" 423 305
110 3 "WC" 488 245
111 1 "WC" 450 280
111 3 "WC" 530 235
112 6 "WC" 341 245
119 2 "WC" 314 280
119 3 "WC" 266 190
120 1 "WC" 341 250
123 2 "WC" 176 165
126 3 "WC" 337 170
128 1 "WC" 213 155
129 2 "WC" 297 200
131 1 "WC" 228 120
132 1 "WC" 174 120
136 1 "WC" 555 275
137 1 "WC" 373 205
138 1 "WC" 207 140
139 1 "WC" 446 285
139 3 "WC" 367 250
143 7 "WC" 478 205
