age	length	period
1	215.25402	1
1	193.25764	1
1	202.57814	1
1	201.45968	1
1	232.03092	1
1	191.02072	1
1	259.6196	1
1	228.30272	1
1	233.5222	1
1	226.81144	1
1	235.75912	1
1	229.04836	1
1	213.76274	1
1	189.15662	1
1	223.45606	1
1	191.76636	1
1	207.4248	1
1	218.98222	1
1	203.32378	1
1	197.73148	1
1	207.05198	1
1	211.52582	1
1	201.8325	1
1	218.98222	1
1	256.63704	1
1	255.51858	1
1	201.08686	1
1	205.18788	1
1	206.30634	1
1	206.30634	1
1	198.84994	1
1	190.6479	1
1	194.74892	1
1	192.13918	1
1	191.76636	1
1	186.9197	1
1	185.80124	1
1	180.95458	1
1	207.05198	1
1	194.00328	1
1	189.52944	1
1	210.03454	1
1	182.44586	1
1	194.3761	1
1	240.60578	1
1	205.18788	1
1	226.81144	1
1	229.42118	1
1	204.06942	1
1	232.40374	1
1	201.8325	1
1	193.25764	1
1	196.61302	1
1	211.89864	1
1	198.1043	1
1	200.34122	1
1	188.41098	1
1	207.4248	1
1	198.47712	1
1	210.78018	1
1	208.91608	1
1	216.7453	1
1	219.35504	1
1	214.8812	1
1	211.153	1
1	205.18788	1
1	218.23658	1
1	219.72786	1
1	238.74168	1
1	230.91246	1
1	231.28528	1
1	181.70022	1
1	181.3274	1
1	227.18426	1
1	199.9684	1
1	238.74168	1
1	194.3761	1
1	191.39354	1
1	203.32378	1
1	209.66172	1
1	215.25402	1
1	205.5607	1
1	193.25764	1
1	198.47712	1
1	197.73148	1
1	207.4248	1
1	219.72786	1
1	202.95096	1
1	195.86738	1
1	197.73148	1
1	202.20532	1
1	195.49456	1
1	240.60578	1
1	201.8325	1
1	204.81506	1
1	210.03454	1
1	221.96478	1
1	204.81506	1
1	215.62684	1
1	216.7453	1
1	213.0171	1
1	211.153	1
1	234.26784	1
1	194.00328	1
1	257.38268	1
1	262.97498	1
1	242.8427	1
1	195.86738	1
1	252.53602	1
1	199.9684	1
1	213.0171	1
1	223.45606	1
1	195.86738	1
1	197.35866	1
1	190.27508	1
1	221.21914	1
1	207.4248	1
1	232.03092	1
1	192.512	1
1	188.7838	1
1	222.3376	1
1	191.39354	1
1	203.6966	1
1	210.40736	1
1	213.38992	1
1	185.80124	1
1	201.45968	1
1	185.0556	1
1	186.9197	1
1	200.34122	1
1	193.63046	1
1	184.30996	1
1	202.57814	1
1	209.66172	1
1	198.84994	1
1	194.3761	1
1	192.512	1
1	233.5222	1
1	211.89864	1
1	227.9299	1
1	223.08324	1
1	204.06942	1
1	209.2889	1
1	184.30996	1
1	193.63046	1
1	195.86738	1
1	208.54326	1
1	217.86376	1
1	190.6479	1
1	192.13918	1
1	219.35504	1
1	221.21914	1
1	194.3761	1
1	201.08686	1
1	201.45968	1
1	229.04836	1
1	194.74892	1
1	200.34122	1
1	199.59558	1
1	218.23658	1
1	200.71404	1
1	210.40736	1
1	219.72786	1
1	189.15662	1
1	194.00328	1
1	204.06942	1
1	191.02072	1
1	205.18788	1
1	188.41098	1
1	236.50476	1
1	222.71042	1
1	229.794	1
1	222.3376	1
1	229.794	1
1	222.3376	1
1	229.04836	1
1	204.06942	1
1	214.8812	1
1	207.05198	1
1	198.84994	1
1	212.27146	1
1	199.59558	1
1	215.25402	1
1	211.89864	1
1	184.30996	1
1	200.34122	1
1	214.50838	1
1	230.53964	1
1	182.44586	1
1	215.25402	1
1	192.13918	1
1	233.14938	1
1	198.1043	1
1	189.15662	1
1	200.71404	1
1	210.03454	1
1	198.1043	1
1	193.25764	1
1	186.54688	1
1	206.67916	1
1	218.6094	1
1	214.13556	1
1	207.79762	1
1	211.52582	1
1	195.49456	1
1	203.6966	1
1	196.61302	1
1	210.03454	1
1	213.38992	1
1	207.79762	1
1	202.57814	1
1	209.66172	1
1	227.55708	1
1	202.95096	1
1	208.91608	1
1	223.82888	1
1	212.27146	1
1	199.9684	1
1	236.50476	1
1	211.52582	1
1	223.45606	1
1	208.54326	1
1	193.63046	1
1	240.9786	1
1	236.50476	1
1	232.40374	1
1	216.37248	1
1	238.36886	1
1	204.06942	1
1	214.8812	1
1	223.45606	1
1	217.11812	1
1	246.19808	1
1	199.9684	1
1	217.49094	1
1	190.27508	1
1	216.7453	1
1	192.88482	1
1	230.53964	1
1	191.02072	1
1	194.74892	1
1	211.89864	1
1	222.3376	1
1	177.22638	1
1	195.12174	1
1	196.98584	1
1	209.2889	1
1	208.17044	1
1	217.49094	1
1	191.76636	1
1	227.18426	1
1	214.8812	1
1	200.71404	1
1	211.52582	1
1	208.17044	1
1	221.59196	1
1	208.54326	1
1	207.4248	1
1	183.56432	1
1	194.74892	1
1	185.0556	1
2	278.2606	1
2	264.46626	1
2	287.20828	1
2	271.54984	1
2	288.32674	1
2	278.2606	1
2	316.66106	1
2	279.75188	1
2	273.78676	1
2	245.82526	1
2	270.43138	1
2	229.04836	1
2	265.58472	1
2	281.9888	1
2	274.90522	1
2	237.62322	1
2	277.88778	1
2	265.58472	1
2	262.97498	1
2	283.48008	1
2	315.91542	1
2	316.28824	1
2	243.58834	1
2	258.12832	1
2	245.82526	1
2	281.61598	1
2	306.59492	1
2	240.23296	1
2	261.4837	1
2	240.60578	1
2	270.05856	1
2	246.5709	1
2	247.68936	1
2	245.07962	1
2	290.19084	1
2	255.14576	1
2	244.33398	1
2	295.78314	1
2	249.18064	1
2	276.3965	1
2	279.00624	1
2	281.9888	1
2	280.87034	1
2	296.9016	1
2	282.73444	1
2	295.78314	1
2	240.60578	1
2	246.94372	1
2	293.54622	1
2	243.96116	1
2	254.77294	1
2	255.51858	1
2	253.65448	1
2	307.34056	1
2	272.29548	1
2	290.56366	1
2	297.64724	1
2	257.7555	1
2	273.41394	1
2	262.97498	1
2	255.51858	1
2	243.21552	1
2	276.3965	1
2	242.09706	1
2	226.0658	1
2	283.10726	1
2	306.96774	1
2	305.47646	1
2	304.358	1
2	256.26422	1
2	243.21552	1
2	257.7555	1
2	252.90884	1
2	270.8042	1
2	280.87034	1
2	278.2606	1
2	235.3863	1
2	242.46988	1
2	235.3863	1
2	311.8144	1
2	240.60578	1
2	244.7068	1
2	271.54984	1
2	305.10364	1
2	224.94734	1
2	312.18722	1
2	330.08258	1
2	312.56004	1
2	257.00986	1
2	324.8631	1
2	265.58472	1
2	259.24678	1
2	275.27804	1
2	232.03092	1
2	264.46626	1
2	286.08982	1
2	263.3478	1
2	251.79038	1
2	279.75188	1
2	277.88778	1
2	235.75912	1
2	293.54622	1
2	237.99604	1
2	248.06218	1
2	248.435	1
2	299.88416	1
2	229.794	1
2	263.3478	1
2	237.99604	1
2	235.3863	1
2	252.90884	1
2	245.07962	1
2	212.27146	1
2	268.19446	1
2	287.20828	1
2	240.60578	1
2	229.794	1
2	242.8427	1
2	288.32674	1
2	227.18426	1
2	226.0658	1
2	287.20828	1
2	268.56728	1
2	261.11088	1
2	291.68212	1
2	280.1247	1
2	282.73444	1
2	254.40012	1
2	254.40012	1
2	251.79038	1
2	276.3965	1
2	247.68936	1
2	276.3965	1
2	273.78676	1
2	277.88778	1
2	231.28528	1
2	244.33398	1
2	225.32016	1
2	230.16682	1
2	224.94734	1
2	259.6196	1
2	220.4735	1
2	260.73806	1
2	264.09344	1
2	299.13852	1
2	214.50838	1
2	247.68936	1
2	247.68936	1
2	259.99242	1
2	240.60578	1
2	237.99604	1
2	249.92628	1
2	274.15958	1
2	251.79038	1
2	262.22934	1
2	230.53964	1
2	298.39288	1
2	285.717	1
2	273.41394	1
2	244.7068	1
2	245.82526	1
2	242.8427	1
2	256.63704	1
2	250.2991	1
2	293.1734	1
2	285.717	1
2	302.12108	1
2	291.3093	1
2	276.76932	1
2	246.19808	1
2	223.82888	1
2	243.58834	1
2	256.63704	1
2	308.45902	1
2	253.28166	1
2	228.67554	1
2	233.14938	1
2	230.91246	1
3	330.82822	1
3	305.10364	1
3	308.83184	1
3	283.8529	1
3	320.01644	1
3	353.94306	1
3	345.3682	1
3	286.46264	1
3	334.55642	1
3	349.0964	1
3	310.69594	1
3	315.5426	1
3	296.15596	1
3	319.2708	1
3	305.84928	1
3	291.3093	1
3	341.64	1
3	358.78972	1
3	300.6298	1
3	298.39288	1
3	369.6015	1
3	328.96412	1
3	327.84566	1
3	331.57386	1
3	348.35076	1
3	323.74464	1
3	324.8631	1
3	338.28462	1
3	338.65744	1
3	292.80058	1
3	304.73082	1
3	347.2323	1
3	286.83546	1
3	313.30568	1
3	312.56004	1
3	296.15596	1
3	376.68508	1
3	332.3195	1
3	365.8733	1
3	381.90456	1
3	311.06876	1
3	376.68508	1
3	321.1349	1
3	359.53536	1
3	287.95392	1
3	371.09278	1
3	284.97136	1
3	278.63342	1
3	287.282844	1
3	369.6015	1
3	362.51792	1
3	348.72358	1
3	306.96774	1
3	307.71338	1
3	319.64362	1
3	299.51134	1
3	318.89798	1
3	337.16616	1
3	331.94668	1
3	302.12108	1
3	264.46626	1
3	339.03026	1
3	371.09278	1
3	337.9118	1
3	300.6298	1
3	359.53536	1
3	322.999	1
3	317.03388	1
3	350.58768	1
3	293.91904	1
3	314.05132	1
3	343.13128	1
3	325.98156	1
3	298.02006	1
3	321.50772	1
3	311.44158	1
3	274.5324	1
3	350.21486	1
3	299.88416	1
3	292.42776	1
3	296.15596	1
3	332.69232	1
3	280.1247	1
3	331.57386	1
3	304.358	1
