Date CSpd RSpd
"2002/1/1/0" 6.9 5.9666
"2002/1/1/6" 7.1 7.2176
"2002/1/1/12" 7.8 7.9405
"2002/1/1/18" 6.9 6.0174
"2002/1/2/0" 5.5 6.1646
"2002/1/2/6" 3.1 1.7687
"2002/1/2/12" 6.8 4.6471
"2002/1/2/18" 11.4 10.8734
"2002/1/3/0" 12.9 11.7198
"2002/1/3/6" 13.5 13.0118
"2002/1/3/12" 9.6 6.3998
"2002/1/3/18" 8.0 8.2706
"2002/1/4/0" 8.3 8.3522
"2002/1/4/6" 8.8 7.9027
"2002/1/4/12" 6.1 6.7136
"2002/1/4/18" 8.4 9.6341
"2002/1/5/0" 8.5 8.7918
"2002/1/5/6" 9.6 10.2506
"2002/1/5/12" 10.4 10.8894
"2002/1/5/18" 10.0 7.6393
"2002/1/6/0" 10.6 8.2217
"2002/1/6/6" 8.9 7.4820
"2002/1/6/12" 9.4 9.2628
"2002/1/6/18" 8.8 4.8476
"2002/1/7/0" 6.1 4.4194
"2002/1/7/6" 13.5 11.3922
"2002/1/7/12" 11.5 10.6574
"2002/1/7/18" 9.9 9.2053
"2002/1/8/0" 10.5 11.2537
"2002/1/8/6" 11.7 13.2537
"2002/1/8/12" 11.2 8.6108
"2002/1/8/18" 13.5 13.8014
"2002/1/9/0" 13.0 10.8876
"2002/1/9/6" 13.7 16.5845
"2002/1/9/12" 11.9 9.5704
"2002/1/9/18" 8.9 11.3460
"2002/1/10/0" 7.8 10.9086
"2002/1/10/6" 10.5 11.7165
"2002/1/10/12" 12.0 11.4775
"2002/1/10/18" 9.4 8.4952
"2002/1/11/0" 7.5 5.7006
"2002/1/11/6" 9.0 10.6961
"2002/1/11/12" 7.6 6.0895
"2002/1/11/18" 10.9 12.5194
"2002/1/12/0" 16.4 16.9452
"2002/1/12/6" 15.9 14.7786
"2002/1/12/12" 11.3 11.6801
"2002/1/12/18" 6.8 3.4453
"2002/1/13/0" 8.7 10.0276
"2002/1/13/6" 4.7 6.2754
"2002/1/13/12" 4.2 8.2301
"2002/1/13/18" 5.3 10.6847
"2002/1/14/0" 9.7 15.6620
"2002/1/14/6" 9.9 14.9993
"2002/1/14/12" 12.0 15.7002
"2002/1/14/18" 13.9 14.3144
"2002/1/15/0" 15.2 13.2610
"2002/1/15/6" 13.2 13.4437
"2002/1/15/12" 8.2 7.8656
"2002/1/15/18" 4.3 2.2458
"2002/1/16/0" 0.9 1.7095
"2002/1/16/6" 5.5 7.2095
"2002/1/16/12" 8.7 8.5995
"2002/1/16/18" 9.5 10.1866
"2002/1/17/0" 8.7 8.4313
"2002/1/17/6" 6.6 6.6694
"2002/1/17/18" 7.5 4.7395
"2002/1/18/0" 9.5 7.8583
"2002/1/18/6" 5.4 4.9624
"2002/1/18/12" 6.1 2.1926
"2002/1/18/18" 8.7 9.2010
"2002/1/19/0" 7.3 5.5414
"2002/1/19/6" 10.3 9.6968
"2002/1/19/12" 13.2 11.3499
"2002/1/19/18" 13.8 12.0974
"2002/1/20/0" 5.2 2.2668
"2002/1/20/6" 9.7 4.9634
"2002/1/20/12" 7.2 7.7435
"2002/1/20/18" 8.0 6.9884
"2002/1/21/0" 5.3 5.3076
"2002/1/21/6" 9.0 7.5679
"2002/1/21/12" 11.0 10.1576
"2002/1/21/18" 11.0 13.7039
"2002/1/22/0" 7.0 10.2847
"2002/1/22/6" 11.9 7.6300
"2002/1/22/12" 9.7 10.9825
"2002/1/22/18" 7.8 8.7266
"2002/1/23/0" 6.9 12.7467
"2002/1/23/6" 6.6 8.0597
"2002/1/23/12" 7.7 5.8810
"2002/1/23/18" 3.4 2.1562
"2002/1/24/0" 6.1 4.2010
"2002/1/24/6" 9.2 10.8945
"2002/1/24/12" 12.6 14.3881
"2002/1/24/18" 16.1 14.2931
"2002/1/25/0" 11.9 8.1352
"2002/1/25/6" 15.7 15.8288
"2002/1/25/12" 13.1 14.8900
"2002/1/25/18" 10.2 9.9170
"2002/1/26/0" 4.3 3.5504
"2002/1/26/6" 7.5 3.9581
"2002/1/26/12" 4.8 12.4998
"2002/1/26/18" 4.4 3.0049
"2002/1/27/0" 8.2 2.2797
"2002/1/27/6" 7.0 4.4027
"2002/1/27/12" 6.3 3.2324
"2002/1/27/18" 8.5 8.8961
"2002/1/28/0" 10.3 10.1121
"2002/1/28/6" 7.4 6.0038
"2002/1/28/12" 9.4 8.9022
"2002/1/28/18" 6.6 5.7098
"2002/1/29/0" 10.0 9.1971
"2002/1/29/6" 5.7 4.7037
"2002/1/29/12" 5.8 5.1210
"2002/1/29/18" 2.1 5.3808
"2002/1/30/0" 4.2 3.2446
"2002/1/30/6" 6.1 8.0270
"2002/1/30/12" 4.6 5.4111
"2002/1/31/0" 6.7 1.5631
"2002/1/31/6" 7.6 6.4006
"2002/1/31/12" 2.2 5.4079
"2002/1/31/18" 4.6 3.1232
"2002/2/1/0" 3.3 1.7456
"2002/2/1/6" 5.8 3.5089
"2002/2/1/12" 3.7 5.5103
"2002/2/1/18" 6.8 4.7686
"2002/2/2/0" 8.4 4.6667
"2002/2/2/6" 10.4 9.5266
"2002/2/2/12" 9.2 7.2174
"2002/2/2/18" 11.9 11.9274
"2002/2/3/0" 9.7 6.7603
"2002/2/3/12" 10.7 11.6778
"2002/2/3/18" 6.9 2.3004
"2002/2/4/0" 3.9 3.0057
"2002/2/4/6" 5.5 6.1977
"2002/2/4/12" 9.6 9.0248
"2002/2/4/18" 9.8 6.9864
"2002/2/5/0" 4.7 5.5852
"2002/2/5/6" 9.2 7.9898
"2002/2/5/12" 4.6 7.9119
"2002/2/5/18" 8.5 3.8551
"2002/2/6/0" 10.0 10.3185
"2002/2/6/6" 12.5 12.5113
"2002/2/6/12" 9.1 9.9446
"2002/2/6/18" 15.3 12.6725
"2002/2/7/0" 12.2 10.2079
"2002/2/7/6" 6.8 8.6812
"2002/2/7/12" 11.0 11.1349
"2002/2/7/18" 10.7 12.5574
"2002/2/8/0" 8.9 6.8682
"2002/2/8/6" 6.4 3.7324
"2002/2/8/12" 6.7 2.2350
"2002/2/8/18" 17.2 8.0831
"2002/2/9/0" 15.1 11.1398
"2002/2/9/6" 14.5 10.1403
"2002/2/9/12" 21.2 17.7109
"2002/2/9/18" 22.4 21.6015
"2002/2/10/0" 19.4 16.5527
"2002/2/10/6" 12.6 9.2818
"2002/2/10/12" 8.6 9.0641
"2002/2/10/18" 5.4 4.3804
"2002/2/11/0" 9.3 8.7842
"2002/2/11/6" 13.2 13.4403
"2002/2/11/18" 20.1 18.1817
"2002/2/12/0" 22.3 15.5315
"2002/2/12/6" 20.0 16.1955
"2002/2/12/12" 18.1 17.5315
"2002/2/12/18" 7.8 10.0389
"2002/2/13/0" 3.9 8.5596
"2002/2/13/6" 9.8 10.6490
"2002/2/13/12" 12.6 9.8498
"2002/2/13/18" 11.8 10.1047
"2002/2/14/0" 11.2 9.9602
"2002/2/14/6" 11.8 12.1440
"2002/2/14/12" 10.0 11.3239
"2002/2/14/18" 14.7 16.6676
"2002/2/15/0" 15.0 13.4807
"2002/2/15/6" 9.8 10.6674
"2002/2/15/12" 12.0 10.5015
"2002/2/15/18" 13.5 11.6881
"2002/2/16/0" 14.6 13.7721
"2002/2/16/6" 12.4 12.5701
"2002/2/16/12" 9.4 7.8288
"2002/2/16/18" 7.2 3.0985
"2002/2/17/0" 3.4 3.2293
"2002/2/17/6" 5.9 8.1001
"2002/2/17/12" 11.3 12.7218
"2002/2/17/18" 13.8 11.0868
"2002/2/18/0" 11.0 11.6472
"2002/2/18/6" 6.5 6.0283
"2002/2/18/12" 6.2 3.2037
"2002/2/18/18" 8.6 6.3188
"2002/2/19/0" 8.3 11.5869
"2002/2/19/6" 7.8 7.6046
"2002/2/19/12" 6.8 7.4170
"2002/2/19/18" 7.5 3.9026
"2002/2/20/0" 7.1 7.0414
"2002/2/20/6" 5.0 4.4027
"2002/2/20/12" 6.3 5.2369
"2002/2/20/18" 6.4 4.1456
"2002/2/21/0" 6.3 6.9726
"2002/2/21/6" 4.3 5.0447
"2002/2/21/12" 4.9 7.3415
"2002/2/21/18" 9.3 8.2720
"2002/2/22/0" 4.1 3.3045
"2002/2/22/6" 6.5 10.0036
"2002/2/22/12" 11.3 12.9446
"2002/2/22/18" 12.8 9.0404
"2002/2/23/0" 9.7 7.3958
"2002/2/23/6" 7.8 9.9016
"2002/2/23/12" 10.3 11.7899
"2002/2/23/18" 7.9 5.8707
"2002/2/24/0" 8.8 10.5731
"2002/2/24/6" 10.6 12.2139
"2002/2/24/12" 10.6 15.9011
"2002/2/24/18" 10.2 11.8645
"2002/2/25/0" 11.4 9.8086
"2002/2/25/6" 11.4 10.2214
"2002/2/25/12" 12.0 12.8606
"2002/2/25/18" 15.6 12.4201
"2002/2/26/0" 15.1 14.6431
"2002/2/26/6" 12.5 13.8605
"2002/2/26/12" 15.0 15.1161
"2002/2/26/18" 14.8 7.9261
"2002/2/27/0" 9.8 7.2136
"2002/2/27/6" 5.1 4.3071
"2002/2/27/12" 4.3 4.5504
"2002/2/27/18" 9.3 9.1562
"2002/2/28/0" 11.9 11.6047
"2002/2/28/6" 7.5 7.7184
"2002/2/28/12" 4.7 3.4469
"2002/2/28/18" 6.7 6.1572
"2002/3/1/0" 9.7 8.9751
"2002/3/1/6" 4.3 6.7308
"2002/3/1/12" 3.4 5.8159
"2002/3/1/18" 4.2 2.7227
"2002/3/2/0" 6.9 4.1375
"2002/3/2/6" 6.0 5.0614
"2002/3/2/12" 7.9 8.2742
"2002/3/2/18" 10.3 5.8153
"2002/3/3/0" 11.4 7.5451
"2002/3/3/6" 6.4 9.0270
"2002/3/3/12" 8.2 10.5367
"2002/3/3/18" 8.5 4.2014
"2002/3/4/0" 9.1 3.5762
"2002/3/4/6" 12.9 10.3914
"2002/3/4/12" 14.7 17.9625
"2002/3/4/18" 9.9 10.6834
"2002/3/5/0" 5.0 2.6658
"2002/3/5/6" 6.1 3.8295
"2002/3/5/12" 4.1 1.5343
"2002/3/5/18" 9.0 4.5372
"2002/3/6/0" 10.6 8.6619
"2002/3/6/6" 11.7 8.4553
"2002/3/6/12" 8.7 12.6123
"2002/3/6/18" 4.8 3.3165
"2002/3/7/0" 4.0 4.2586
"2002/3/7/6" 6.7 7.8101
"2002/3/7/12" 11.2 8.9041
"2002/3/7/18" 12.5 10.2809
"2002/3/8/0" 10.5 7.1862
"2002/3/8/12" 7.2 6.5793
"2002/3/8/18" 6.1 6.6230
"2002/3/9/0" 11.3 13.4041
"2002/3/9/6" 14.9 14.6875
"2002/3/9/12" 20.6 14.9572
"2002/3/9/18" 17.1 6.3315
"2002/3/10/0" 15.4 7.7077
"2002/3/10/6" 10.4 3.5130
"2002/3/10/12" 5.3 3.8932
"2002/3/10/18" 8.9 11.9407
"2002/3/11/0" 11.4 8.7215
"2002/3/11/6" 4.5 2.4145
"2002/3/11/12" 5.8 8.4378
"2002/3/11/18" 7.9 3.1755
"2002/3/12/0" 7.9 6.7378
"2002/3/12/6" 13.5 11.9731
"2002/3/12/12" 12.6 8.9035
"2002/3/12/18" 10.0 10.9838
"2002/3/13/0" 10.5 11.4011
"2002/3/13/6" 11.1 9.9364
"2002/3/13/12" 8.0 7.2552
"2002/3/13/18" 3.8 2.1235
"2002/3/14/0" 2.6 2.9782
"2002/3/14/6" 6.0 6.3355
"2002/3/14/12" 9.0 5.7332
"2002/3/14/18" 13.1 12.0554
"2002/3/15/0" 13.0 13.0038
"2002/3/15/6" 7.9 8.6411
"2002/3/15/12" 5.5 4.6030
"2002/3/15/18" 6.3 5.3369
"2002/3/16/0" 6.6 4.4758
"2002/3/16/6" 7.9 7.3495
"2002/3/16/12" 8.6 7.6643
"2002/3/16/18" 9.4 10.8229
"2002/3/17/0" 12.3 10.3380
"2002/3/17/6" 12.3 10.4392
"2002/3/17/12" 7.9 6.2593
"2002/3/17/18" 6.2 2.5540
"2002/3/18/0" 2.8 4.4399
"2002/3/18/6" 2.4 1.9626
"2002/3/18/12" 5.1 4.0699
"2002/3/18/18" 3.1 2.1088
"2002/3/19/0" 3.1 4.3395
"2002/3/19/6" 3.3 3.7012
"2002/3/19/12" 2.7 2.3636
"2002/3/19/18" 4.2 2.7223
"2002/3/20/0" 4.6 5.4434
"2002/3/20/6" 6.0 7.1442
"2002/3/20/12" 7.9 3.8915
"2002/3/20/18" 12.0 6.1080
"2002/3/21/0" 12.5 13.3852
"2002/3/21/6" 12.3 6.6049
"2002/3/21/12" 13.9 14.3606
"2002/3/21/18" 15.8 11.1367
"2002/3/22/0" 13.7 8.6945
"2002/3/22/6" 10.4 9.3261
"2002/3/22/12" 10.0 8.4906
"2002/3/22/18" 9.6 5.2999
"2002/3/23/0" 7.7 4.2186
"2002/3/23/6" 6.2 6.7965
"2002/3/23/12" 7.2 6.4285
"2002/3/23/18" 4.8 4.1163
"2002/3/24/0" 8.3 5.6095
"2002/3/24/6" 7.9 7.3180
"2002/3/24/12" 11.3 10.6870
"2002/3/24/18" 11.1 7.4856
"2002/3/25/0" 10.2 6.9668
"2002/3/25/6" 8.2 6.4012
"2002/3/25/12" 4.8 4.2586
"2002/3/25/18" 5.7 3.1327
"2002/3/26/0" 9.2 5.5442
"2002/3/26/6" 6.1 7.8072
"2002/3/26/12" 6.5 8.9240
"2002/3/26/18" 9.9 3.7067
"2002/3/27/0" 7.7 5.8195
"2002/3/27/6" 8.8 8.5569
"2002/3/27/12" 11.7 9.5321
"2002/3/27/18" 13.5 7.9748
"2002/3/28/0" 10.7 5.6026
"2002/3/28/6" 16.5 17.0495
"2002/3/28/12" 15.0 9.3739
"2002/3/28/18" 15.8 11.4790
"2002/3/29/0" 11.6 10.8013
"2002/3/29/6" 10.7 11.9966
"2002/3/29/12" 11.4 13.5216
"2002/3/29/18" 12.7 10.0221
"2002/3/30/0" 15.6 14.8502
"2002/3/30/6" 11.9 10.6045
"2002/3/30/12" 14.1 9.6151
"2002/3/30/18" 14.9 8.7926
"2002/3/31/0" 12.1 11.3635
"2002/3/31/6" 13.0 12.3052
"2002/3/31/12" 12.6 11.9800
"2002/3/31/18" 9.8 3.8179
"2002/4/1/0" 5.8 1.1673
"2002/4/1/6" 9.1 11.2501
"2002/4/1/12" 13.8 10.3389
"2002/4/1/18" 5.8 1.1423
"2002/4/2/0" 8.2 7.9334
"2002/4/2/6" 11.7 14.5835
"2002/4/2/12" 12.9 15.3403
"2002/4/2/18" 11.4 13.0218
"2002/4/3/0" 14.8 13.8130
"2002/4/3/6" 10.0 8.4890
"2002/4/3/12" 8.7 6.7200
"2002/4/3/18" 4.8 2.4674
"2002/4/4/0" 2.8 1.5855
"2002/4/4/6" 4.4 6.4527
"2002/4/4/12" 6.4 6.1961
"2002/4/4/18" 3.9 5.8672
"2002/4/5/0" 2.2 2.5037
"2002/4/5/6" 2.7 5.8535
"2002/4/5/12" 5.3 4.0872
"2002/4/5/18" 3.8 6.1646
"2002/4/6/0" 7.3 4.5561
"2002/4/6/6" 12.5 13.3132
"2002/4/6/12" 21.1 18.9234
"2002/4/6/18" 19.4 16.3987
"2002/4/7/0" 14.0 7.1154
"2002/4/7/6" 6.0 7.1413
"2002/4/7/12" 8.1 8.9113
"2002/4/7/18" 3.9 5.1124
"2002/4/8/0" 5.8 1.6168
"2002/4/8/6" 3.8 7.0765
"2002/4/8/12" 5.6 6.3796
"2002/4/8/18" 7.7 7.2203
"2002/4/9/0" 3.2 4.3176
"2002/4/9/6" 3.9 3.2283
