"Date" "CSpd" "RSpd" "RDir" "Bin"
"2002/1/1/0" 6.9 5.9666 309.58 13
"2002/1/1/6" 7.1 7.2176 312.76 13
"2002/1/1/12" 7.8 7.9405 328.92 14
"2002/1/1/18" 6.9 6.0174 338.56 15
"2002/1/2/0" 5.5 6.1646 346.89 15
"2002/1/2/6" 3.1 1.7687 312.80 13
"2002/1/2/12" 6.8 4.6471 205.47 9
"2002/1/2/18" 11.4 10.8734 204.43 9
"2002/1/3/0" 12.9 11.7198 176.56 7
"2002/1/3/6" 13.5 13.0118 206.96 9
"2002/1/3/12" 9.6 6.3998 218.67 9
"2002/1/3/18" 8.0 8.2706 255.30 11
"2002/1/4/0" 8.3 8.3522 281.08 12
"2002/1/4/6" 8.8 7.9027 288.46 12
"2002/1/4/12" 6.1 6.7136 294.69 13
"2002/1/4/18" 8.4 9.6341 318.39 14
"2002/1/5/0" 8.5 8.7918 303.88 13
"2002/1/5/6" 9.6 10.2506 290.56 12
"2002/1/5/12" 10.4 10.8894 315.02 14
"2002/1/5/18" 10.0 7.6393 276.04 12
"2002/1/6/0" 10.6 8.2217 311.09 13
"2002/1/6/6" 8.9 7.4820 307.97 13
"2002/1/6/12" 9.4 9.2628 335.11 14
"2002/1/6/18" 8.8 4.8476 338.24 15
"2002/1/7/0" 6.1 4.4194 217.64 9
"2002/1/7/6" 13.5 11.3922 227.49 10
"2002/1/7/12" 11.5 10.6574 249.70 11
"2002/1/7/18" 9.9 9.2053 261.26 11
"2002/1/8/0" 10.5 11.2537 275.61 12
"2002/1/8/6" 11.7 13.2537 286.67 12
"2002/1/8/12" 11.2 8.6108 282.76 12
"2002/1/8/18" 13.5 13.8014 269.17 11
"2002/1/9/0" 13.0 10.8876 277.40 12
"2002/1/9/6" 13.7 16.5845 290.85 12
"2002/1/9/12" 11.9 9.5704 296.03 13
"2002/1/9/18" 8.9 11.3460 292.28 12
"2002/1/10/0" 7.8 10.9086 301.51 13
"2002/1/10/6" 10.5 11.7165 295.27 13
"2002/1/10/12" 12.0 11.4775 311.48 13
"2002/1/10/18" 9.4 8.4952 296.59 13
"2002/1/11/0" 7.5 5.7006 268.00 11
"2002/1/11/6" 9.0 10.6961 270.01 12
"2002/1/11/12" 7.6 6.0895 299.52 13
"2002/1/11/18" 10.9 12.5194 288.16 12
"2002/1/12/0" 16.4 16.9452 329.50 14
"2002/1/12/6" 15.9 14.7786 315.83 14
"2002/1/12/12" 11.3 11.6801 317.45 14
"2002/1/12/18" 6.8 3.4453 253.20 11
"2002/1/13/0" 8.7 10.0276 184.57 8
"2002/1/13/6" 4.7 6.2754 239.37 10
"2002/1/13/12" 4.2 8.2301 297.51 13
"2002/1/13/18" 5.3 10.6847 313.12 13
"2002/1/14/0" 9.7 15.6620 339.83 15
"2002/1/14/6" 9.9 14.9993 323.14 14
"2002/1/14/12" 12.0 15.7002 314.49 13
"2002/1/14/18" 13.9 14.3144 298.36 13
"2002/1/15/0" 15.2 13.2610 307.65 13
"2002/1/15/6" 13.2 13.4437 316.82 14
"2002/1/15/12" 8.2 7.8656 318.63 14
"2002/1/15/18" 4.3 2.2458 249.16 11
"2002/1/16/0" 0.9 1.7095 290.62 12
"2002/1/16/6" 5.5 7.2095 266.85 11
"2002/1/16/12" 8.7 8.5995 270.02 12
"2002/1/16/18" 9.5 10.1866 283.63 12
"2002/1/17/0" 8.7 8.4313 303.91 13
"2002/1/17/6" 6.6 6.6694 310.16 13
"2002/1/17/18" 7.5 4.7395 314.18 13
"2002/1/18/0" 9.5 7.8583 328.56 14
"2002/1/18/6" 5.4 4.9624 297.62 13
"2002/1/18/12" 6.1 2.1926 223.14 9
"2002/1/18/18" 8.7 9.2010 197.06 8
"2002/1/19/0" 7.3 5.5414 219.17 9
"2002/1/19/6" 10.3 9.6968 255.69 11
"2002/1/19/12" 13.2 11.3499 252.04 11
"2002/1/19/18" 13.8 12.0974 270.49 12
"2002/1/20/0" 5.2 2.2668 311.56 13
"2002/1/20/6" 9.7 4.9634 205.02 9
"2002/1/20/12" 7.2 7.7435 258.84 11
"2002/1/20/18" 8.0 6.9884 289.22 12
"2002/1/21/0" 5.3 5.3076 273.29 12
"2002/1/21/6" 9.0 7.5679 254.69 11
"2002/1/21/12" 11.0 10.1576 233.80 10
"2002/1/21/18" 11.0 13.7039 262.89 11
"2002/1/22/0" 7.0 10.2847 248.94 11
"2002/1/22/6" 11.9 7.6300 201.52 8
"2002/1/22/12" 9.7 10.9825 213.11 9
"2002/1/22/18" 7.8 8.7266 288.05 12
"2002/1/23/0" 6.9 12.7467 340.30 15
"2002/1/23/6" 6.6 8.0597 322.59 14
"2002/1/23/12" 7.7 5.8810 301.83 13
"2002/1/23/18" 3.4 2.1562 338.26 15
"2002/1/24/0" 6.1 4.2010 205.32 9
"2002/1/24/6" 9.2 10.8945 227.25 10
"2002/1/24/12" 12.6 14.3881 263.62 11
"2002/1/24/18" 16.1 14.2931 287.94 12
"2002/1/25/0" 11.9 8.1352 264.36 11
"2002/1/25/6" 15.7 15.8288 243.76 10
"2002/1/25/12" 13.1 14.8900 283.21 12
"2002/1/25/18" 10.2 9.9170 255.42 11
"2002/1/26/0" 4.3 3.5504 260.31 11
"2002/1/26/6" 7.5 3.9581 227.02 10
"2002/1/26/12" 4.8 12.4998 270.01 12
"2002/1/26/18" 4.4 3.0049 285.51 12
"2002/1/27/0" 8.2 2.2797 142.01 6
