,visit1_001,visit1_010,visit1_011,visit1_100,visit1_101,visit1_110,visit1_111,visit2_001,visit2_010,visit2_011,visit2_100,visit2_101,visit2_110,visit2_111,visit3_001,visit3_010,visit3_011,visit3_100,visit3_101,visit3_110,visit3_111,struct,woody,time.1,time.2,time.3,date.1,date.2,date.3
crick1_05,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.45,0.3,8.68,8.73,5.72,6,25,34
his1_05,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,4.75,0.05,9.43,7.4,7.58,20,32,54
hisw1_05,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,14.7,0.35,8.25,6.7,7.62,20,32,47
hisw2_05,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5.05,0.3,7.77,6.23,7.17,20,32,47
kenc1_05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.15,0.1,9.57,9.55,5.73,8,27,36
kenc2_05,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,9.75,0.4,9.1,9.12,9.12,8,27,36
kenc3_05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.6,0.2,8.6,8.62,6.72,8,27,36
kence1_05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.7,0,8.12,7.92,8.07,1,27,36
kence2_05,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,9.2,0.2,7.63,7.43,7.6,1,27,36
kense1_05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.75,0.15,9.92,5.67,9.72,1,27,36
kense2_05,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15.55,0.2,9.27,6.22,9.18,1,27,36
kense3_05,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,13.05,0.4,8.83,6.67,8.75,1,27,36
