RouteNumStopNum,JulianDate,Pfer,MinAfterSunset,Wind,Sky,Temperature
211202.01,72,0,48,1,0,8.3
211202.02,72,3,64,1,0,7.8
211202.03,72,3,72,1,0,7.8
211202.04,72,2,81,1,0,7.8
211202.05,72,2,90,1,0,7.8
211202.06,72,0,97,1,1,7.2
211202.07,72,1,106,1,1,7.8
211202.08,72,2,114,1,1,7.2
211202.09,72,0,122,1,1,7.8
211202.1,72,3,130,1,1,8.3
211001.01,82,1,51,3,0,8.9
211001.02,82,0,73,3,0,8.9
211001.03,82,0,86,3,0,10
211001.04,82,0,101,3,0,8.9
211001.05,82,0,115,3,0,9.4
211001.06,82,0,136,2,0,8.9
211001.07,82,0,155,2,0,10
211001.08,82,0,168,2,0,9.4
211001.09,82,0,181,2,0,9.4
211001.1,82,0,192,2,0,9.4
210302.01,89,2,37,2,2,12.2
210302.02,89,2,47,2,2,12.2
210302.03,89,1,57,2,2,11.7
210302.04,89,1,67,2,2,11.7
210302.05,89,0,77,2,2,11.7
210302.06,89,0,87,1,2,10.6
210302.07,89,0,97,1,2,10.6
210302.08,89,0,107,1,2,10
210302.09,89,2,117,1,2,10
210302.1,89,0,127,1,2,9.4
210801.01,90,0,108,0,2,8
210801.02,90,0,116,0,2,10
210801.03,90,0,134,0,2,8
210801.04,90,0,144,0,2,8
210801.05,90,0,162,0,2,7
210801.06,90,0,170,0,2,8
210801.07,90,0,181,0,2,8
210801.08,90,0,193,0,2,6.5
210801.09,90,0,199,0,2,7
210801.1,90,1,211,0,2,6
210702.01,93,0,91,1,0,6
210702.02,93,3,100,1,0,5
210702.03,93,3,108,1,0,4
210702.04,93,2,119,1,0,4
210702.05,93,2,136,1,0,5
210702.06,93,2,149,0,0,5
210702.07,93,1,159,0,0,4
210702.08,93,0,167,0,0,4
210702.09,93,1,177,0,0,5
210702.1,93,0,185,0,0,4
211301.01,94,0,31,0,0,16
211301.02,94,0,55,0,0,12
211301.03,94,0,67,0,0,13
211301.04,94,0,79,0,0,10
211301.05,94,0,91,0,0,11
211301.06,94,0,103,0,0,11
211301.07,94,0,115,0,0,11
211301.08,94,2,127,0,0,11
211301.09,94,0,139,0,0,14
211301.1,94,0,151,0,0,12
210602.01,95,0,31,2,0,15
210602.02,95,1,41,2,0,14
210602.03,95,1,56,2,0,13
210602.04,95,1,66,2,0,12
210602.05,95,0,76,2,0,12
210602.06,95,0,86,2,0,11
210602.07,95,1,96,2,0,9
210602.08,95,0,106,2,0,9
210602.09,95,1,111,2,0,8
210602.1,95,0,121,2,0,8
211101.01,95,0,33,1,0,7
211101.02,95,0,45,1,0,5.5
211101.03,95,0,60,1,0,6.5
211101.04,95,0,72,1,0,9
211101.05,95,0,92,1,0,8
211101.06,95,0,110,2,0,7
211101.07,95,1,133,2,0,7
211101.08,95,0,146,2,0,7
211101.09,95,0,158,2,0,6.3
211101.1,95,0,168,2,0,5
211102.01,95,0,41,0,0,12
211102.02,95,0,52,0,0,10
211102.03,95,0,59,0,0,9
211102.04,95,0,70,0,0,9
211102.05,95,0,81,0,0,10
211102.06,95,0,86,1,0,8
211102.07,95,0,99,1,0,11
211102.08,95,0,106,1,0,9
211102.09,95,2,116,1,0,8
211102.1,95,3,126,1,0,7
210601.01,96,0,44,0,1,14.4
210601.02,96,1,54,0,1,14.4
210601.03,96,0,64,0,1,14.4
210601.04,96,1,72,0,1,13.9
210601.05,96,1,84,0,1,13.9
210601.06,96,3,92,0,1,13.9
210601.07,96,1,100,0,1,13.9
210601.08,96,0,108,0,1,13.9
210601.09,96,0,115,0,1,13.9
210601.1,96,2,122,0,1,13.9
210902.01,103,2,52,0,0,17
210902.02,103,2,66,0,0,17
210902.03,103,0,73,0,0,17
210902.04,103,0,80,0,0,17
210902.05,103,0,87,0,0,17
210902.06,103,0,94,1,0,17
210902.07,103,1,101,1,0,17
210902.08,103,0,108,1,0,17
210902.09,103,0,115,1,0,17
210902.1,103,0,122,1,0,17
210802.01,111,0,76,0,1,25
210802.02,111,0,86,0,1,23
210802.03,111,0,93,0,1,23
210802.04,111,0,99,0,1,21
210802.05,111,0,109,0,1,21
210802.06,111,0,116,0,1,21
210802.07,111,0,119,0,1,26
210802.08,111,0,130,0,1,22
210802.09,111,0,137,0,1,22
210802.1,111,0,140,0,1,23
210702.01,113,0,84,3,0,22
210702.02,113,0,94,3,0,20
210702.03,113,0,103,3,0,21
210702.04,113,0,115,3,0,20
210702.05,113,0,124,3,0,20
210702.06,113,0,134,3,0,20
210702.07,113,0,143,3,0,20
210702.08,113,0,155,3,0,19
210702.09,113,0,164,3,0,19
210702.1,113,0,172,3,0,19
211001.01,117,0,26,3,2,17.8
211001.02,117,0,41,3,2,17.8
211001.03,117,0,55,3,2,17.8
211001.04,117,1,73,3,2,18.9
211001.05,117,1,82,3,2,17.2
211001.06,117,1,99,0,0,17.8
211001.07,117,0,109,0,0,17.2
211001.08,117,0,122,0,0,15.6
211001.09,117,0,134,0,0,15.6
211001.1,117,0,145,0,0,16.7
210601.01,120,0,81,0,0,15.6
210601.02,120,0,91,0,0,15.6
210601.03,120,0,99,0,0,15.6
210601.04,120,0,109,0,0,15.6
210601.05,120,0,121,0,0,15.6
210601.06,120,0,134,1,0,15.6
210601.07,120,0,141,1,0,15
210601.08,120,0,149,1,0,15
210601.09,120,0,156,1,0,14.4
210601.1,120,0,165,1,0,15
211101.01,122,0,32,0,0,19
211101.02,122,0,43,0,0,16.5
211101.03,122,0,57,0,0,16.5
211101.04,122,0,68,0,0,18
211101.05,122,0,88,0,0,19.5
211101.06,122,0,106,1,0,16.5
211101.07,122,0,138,1,0,19
211101.08,122,0,147,1,0,17.5
211101.09,122,0,163,1,0,16
211101.1,122,0,172,1,0,14
210801.01,123,0,32,1,1,23.5
210801.02,123,0,41,1,1,21.5
210801.03,123,0,64,1,1,19
210801.04,123,0,72,1,1,19.5
210801.05,123,0,84,1,1,17.5
210801.07,123,0,104,1,1,19.5
210801.08,123,0,113,1,1,17.5
210801.09,123,0,124,1,1,18
210801.1,123,0,132,1,1,16.5
211202.01,124,0,54,2,0,23.9
211202.02,124,0,61,2,0,21.1
211202.03,124,0,70,2,0,21.7
211202.04,124,0,79,2,0,21.1
211202.05,124,0,88,2,0,20.6
211202.06,124,0,97,1,0,19.4
211202.07,124,0,113,1,0,19.4
211202.08,124,0,120,1,0,19.4
211202.09,124,0,131,1,0,20.6
211202.1,124,0,139,1,0,20
210302.02,129,0,-21,2,1,16.1
210302.03,129,0,-11,2,1,16.1
210302.04,129,0,-1,2,1,16.1
210302.05,129,0,9,2,1,16.1
210302.06,129,0,19,2,1,15
210302.07,129,0,29,2,1,15.6
210302.08,129,0,39,2,1,15.6
210302.09,129,0,49,2,1,15
210302.1,129,0,59,2,1,15
211002.01,130,0,32,0,0,20.6
211002.02,130,0,43,0,0,18.9
211002.03,130,0,53,0,0,18.9
211002.04,130,0,66,0,0,18.3
211002.05,130,0,75,0,0,18.3
211002.06,130,0,83,1,0,16.7
211002.07,130,0,93,1,0,16.7
211002.08,130,0,103,1,0,13.9
211002.09,130,0,113,1,0,13.9
211002.1,130,0,120,1,0,13.9
211102.01,131,0,31,0,0,22
211102.02,131,0,43,0,0,23
211102.03,131,0,54,0,0,20
211102.04,131,0,65,0,0,21
211102.05,131,0,78,0,0,20
211102.06,131,0,85,1,0,20
211102.07,131,0,93,1,0,21
211102.08,131,0,100,1,0,22
211102.09,131,0,108,1,0,21
211102.1,131,0,115,1,0,20
210602.01,135,0,69,2,1,15
210602.02,135,0,74,2,1,15
210602.03,135,0,99,2,1,14.4
210602.04,135,0,114,2,1,14.4
210602.05,135,0,124,2,1,13.9
210602.06,135,0,134,2,2,13.9
210602.07,135,0,144,2,2,13.9
210602.08,135,0,154,2,2,13.9
210602.09,135,0,164,2,2,13.3
210602.1,135,0,174,2,2,13.9
211301.01,135,0,-9,0,0,18
211301.02,135,0,15,0,0,18
211301.03,135,0,27,0,0,19
211301.04,135,0,39,0,0,19
211301.05,135,0,51,0,0,17
211301.06,135,1,63,0,0,16
211301.07,135,0,75,0,0,21
211301.08,135,0,87,0,0,20
211301.09,135,0,99,0,0,19
211301.1,135,0,111,0,0,19
210601.01,156,0,74,0,0,21.1
210601.02,156,0,84,0,0,21.1
210601.03,156,0,96,0,0,21.1
210601.04,156,0,164,0,0,20.6
210601.05,156,0,173,0,0,21.1
210601.06,156,0,179,0,0,20.6
210601.07,156,0,191,0,0,20.6
210601.08,156,0,206,0,0,20
210601.09,156,0,219,0,0,20
210601.1,156,0,228,0,0,20
211101.01,157,0,30,1,2,19
211101.02,157,0,45,1,2,18
211101.03,157,0,58,1,2,19.5
211101.04,157,0,69,1,2,20
211101.05,157,0,87,1,2,21
211101.06,157,0,106,1,5,20
211101.07,157,0,128,1,5,21
211101.08,157,0,137,1,5,20
211101.09,157,0,150,1,5,20.5
211101.1,157,0,159,1,5,21
210302.01,159,0,36,0,0,19.4
210302.02,159,0,46,0,0,19.4
210302.03,159,0,56,0,0,19.4
210302.04,159,0,66,0,0,19.4
210302.05,159,0,76,0,0,19.4
210302.06,159,0,86,0,0,19.4
210302.07,159,0,96,0,0,19.4
210302.08,159,0,106,0,0,18.3
210302.09,159,0,116,0,0,19.4
210302.1,159,0,126,0,0,18.3
211202.01,160,0,97,1,0,17.2
211202.02,160,0,106,1,0,16.7
211202.03,160,0,115,1,0,17.2
211202.04,160,0,138,1,0,17.8
211202.05,160,0,148,1,0,17.2
211202.06,160,0,155,1,0,17.8
211202.07,160,0,166,1,0,17.2
211202.08,160,0,174,1,0,17.2
211202.09,160,0,183,1,0,17.2
211202.1,160,0,192,1,0,17.2
211002.01,161,0,33,1,0,23.9
211002.02,161,0,43,1,0,22.8
211002.03,161,0,50,1,0,21.7
211002.04,161,0,69,1,0,21.7
211002.05,161,0,76,1,0,21.7
211002.06,161,0,83,0,0,20.6
211002.07,161,0,94,0,0,19.4
211002.08,161,0,103,0,0,18.9
211002.09,161,0,115,0,0,16.7
211002.1,161,0,125,0,0,17.2
211102.01,169,0,34,0,0,22
211102.02,169,0,46,0,0,21
211102.03,169,0,56,0,0,20
211102.04,169,0,64,0,0,21
211102.05,169,0,77,0,0,21
211102.06,169,0,84,0,0,20
211102.07,169,0,92,0,0,21
211102.08,169,0,99,0,0,21
211102.09,169,0,110,0,0,20
211102.1,169,0,118,0,0,20
210702.01,171,0,48,2,0,26
210702.02,171,0,56,2,0,25
210702.03,171,0,60,2,0,28
210702.04,171,0,77,2,0,23
210702.05,171,0,85,2,0,23
210702.06,171,0,93,2,0,23
210702.07,171,0,101,2,0,23
210702.08,171,0,108,2,0,24
210702.09,171,0,116,2,0,23
210702.1,171,0,129,2,0,24
210602.01,175,0,75,3,2,21.1
210602.02,175,0,85,3,2,21.1
210602.03,175,0,100,3,2,20
210602.04,175,0,110,3,2,20
210602.05,175,0,120,3,2,20
210602.06,175,0,135,2,2,19.4
210602.07,175,0,145,2,2,19.4
210602.08,175,0,160,2,2,18.9
210602.09,175,0,170,2,2,19.4
210602.1,175,0,180,2,2,18.9
210801.01,177,0,56,0,0,23
210801.02,177,0,68,0,0,23
210801.03,177,0,92,0,0,22.5
210801.04,177,0,100,0,0,23.5
210801.05,177,0,112,0,0,22.5
210801.06,177,0,121,0,0,23.5
210801.07,177,0,130,0,0,22
210801.08,177,0,143,0,0,21.5
210801.09,177,0,155,0,0,20
210801.1,177,0,163,0,0,20
211001.01,178,0,11,0,0,26.1
211001.02,178,0,27,0,0,25.6
211001.03,178,0,39,0,0,25.6
211001.04,178,0,49,0,0,25.6
211001.05,178,0,58,0,0,25.6
211001.06,178,0,70,0,0,24.4
211001.07,178,0,80,0,0,24.4
211001.08,178,0,93,0,0,25
211001.09,178,0,104,0,0,24.4
211001.1,178,0,113,0,0,25.6
211301.02,179,0,-9,0,0,26
211301.03,179,0,3,0,0,26
211301.04,179,0,15,0,0,26
211301.05,179,0,27,0,0,27
211301.06,179,0,39,0,0,26
211301.07,179,0,51,0,0,26
211301.08,179,0,63,0,0,27
211301.09,179,0,75,0,0,28
211301.1,179,0,87,0,0,28
