chromosome	band	start	end	intensity	isCentromere
1	p36.3	0	7100000	5	FALSE
1	p36.2	7100000	15600000	4	FALSE
1	p36.1	15600000	27700000	5	FALSE
1	p35	27700000	34300000	4	FALSE
1	p34.3	34300000	39800000	5	FALSE
1	p34.2	39800000	43800000	4	FALSE
1	p34.1	43800000	46500000	5	FALSE
1	p33	46500000	50400000	2	FALSE
1	p32	50400000	60100000	5	FALSE
1	p31	60100000	84600000	3	FALSE
1	p22	84600000	94500000	5	FALSE
1	p21	94500000	106900000	2	FALSE
1	p13	106900000	117500000	5	FALSE
1	p12	117500000	120300000	3	FALSE
1	p11	120300000	124200000	6	TRUE
1	q11	124200000	127900000	6	TRUE
1	q12	127900000	141600000	7	FALSE
1	q21	141600000	151400000	5	FALSE
1	q22	151400000	153400000	3	FALSE
1	q23	153400000	162300000	5	FALSE
1	q24	162300000	169700000	3	FALSE
1	q25	169700000	182500000	5	FALSE
1	q31	182500000	196000000	1	FALSE
1	q32	196000000	210500000	5	FALSE
1	q41	210500000	219800000	1	FALSE
1	q42	219800000	232900000	5	FALSE
1	q43	232900000	239500000	2	FALSE
1	q44	239500000	245522847	5	FALSE
10	p15	0	6700000	5	FALSE
10	p14	6700000	12300000	2	FALSE
10	p13	12300000	17300000	5	FALSE
10	p12	17300000	29400000	2	FALSE
10	p11.2	29400000	38800000	5	FALSE
10	p11.1	38800000	40300000	6	TRUE
10	q11.1	40300000	41900000	6	TRUE
10	q11.2	41900000	52600000	5	FALSE
10	q21	52600000	70300000	1	FALSE
10	q22	70300000	82900000	5	FALSE
10	q23	82900000	97000000	1	FALSE
10	q24	97000000	105700000	5	FALSE
10	q25	105700000	118700000	1	FALSE
10	q26	118700000	135413628	5	FALSE
11	p15	0	21600000	5	FALSE
11	p14	21600000	31000000	1	FALSE
11	p13	31000000	36400000	5	FALSE
11	p12	36400000	43400000	1	FALSE
11	p11.2	43400000	48800000	5	FALSE
11	p11.1	48800000	52900000	6	TRUE
11	q11	52900000	56700000	6	TRUE
11	q12	56700000	63100000	2	FALSE
11	q13	63100000	77400000	5	FALSE
11	q14	77400000	92100000	1	FALSE
11	q21	92100000	96400000	5	FALSE
11	q22	96400000	110000000	1	FALSE
11	q23	110000000	121200000	5	FALSE
11	q24	121200000	130300000	3	FALSE
11	q25	130300000	134452384	5	FALSE
12	p13	0	14700000	5	FALSE
12	p12	14700000	26400000	1	FALSE
12	p11.2	26400000	33200000	5	FALSE
12	p11.1	33200000	35400000	6	TRUE
12	q11	35400000	36500000	6	TRUE
12	q12	36500000	44600000	1	FALSE
12	q13	44600000	56300000	5	FALSE
12	q14	56300000	66100000	2	FALSE
12	q15	66100000	70100000	5	FALSE
12	q21	70100000	91200000	2	FALSE
12	q22	91200000	94700000	5	FALSE
12	q23	94700000	107500000	2	FALSE
12	q24.1	107500000	112800000	5	FALSE
12	q24.2	112800000	119300000	3	FALSE
12	q24.3	119300000	132449811	5	FALSE
13	p13	0	3800000	10	FALSE
13	p12	3800000	8300000	9	FALSE
13	p11.2	8300000	13500000	8	FALSE
13	p11.1	13500000	16000000	6	TRUE
13	q11	16000000	18400000	6	TRUE
13	q12	18400000	31100000	5	FALSE
13	q13	31100000	39000000	3	FALSE
13	q14	39000000	54200000	5	FALSE
13	q21	54200000	72100000	1	FALSE
13	q22	72100000	77900000	5	FALSE
13	q31	77900000	93800000	1	FALSE
13	q32	93800000	100500000	5	FALSE
13	q33	100500000	109100000	1	FALSE
13	q34	109100000	114142980	5	FALSE
14	p13	0	3100000	10	FALSE
14	p12	3100000	6700000	9	FALSE
14	p11.2	6700000	13600000	8	FALSE
14	p11.1	13600000	15600000	6	TRUE
14	q11.1	15600000	19000000	6	TRUE
14	q11.2	19000000	24300000	5	FALSE
14	q12	24300000	32400000	1	FALSE
14	q13	32400000	36900000	5	FALSE
14	q21	36900000	50100000	1	FALSE
14	q22	50100000	57200000	5	FALSE
14	q23	57200000	67000000	2	FALSE
14	q24	67000000	78400000	5	FALSE
14	q31	78400000	88100000	1	FALSE
14	q32	88100000	106368585	5	FALSE
15	p13	0	3500000	10	FALSE
15	p12	3500000	7900000	9	FALSE
15	p11.2	7900000	14100000	8	FALSE
15	p11.1	14100000	17000000	6	TRUE
15	q11.1	17000000	18300000	6	TRUE
15	q11.2	18300000	23200000	5	FALSE
15	q12	23200000	25700000	3	FALSE
15	q13	25700000	31400000	5	FALSE
15	q14	31400000	37900000	2	FALSE
15	q15	37900000	42600000	5	FALSE
15	q21	42600000	57000000	2	FALSE
15	q22	57000000	65300000	5	FALSE
15	q23	65300000	70400000	4	FALSE
15	q24	70400000	76100000	5	FALSE
15	q25	76100000	86900000	3	FALSE
15	q26	86900000	100338915	5	FALSE
16	p13.3	0	6300000	5	FALSE
16	p13.2	6300000	10300000	3	FALSE
16	p13.1	10300000	16700000	5	FALSE
16	p12	16700000	27600000	3	FALSE
16	p11.2	27600000	34400000	5	FALSE
16	p11.1	34400000	38200000	6	TRUE
16	q11.1	38200000	40700000	6	TRUE
16	q11.2	40700000	45500000	7	FALSE
16	q12.1	45500000	51200000	5	FALSE
16	q12.2	51200000	55300000	3	FALSE
16	q13	55300000	56700000	5	FALSE
16	q21	56700000	63900000	1	FALSE
16	q22	63900000	73800000	5	FALSE
16	q23	73800000	82700000	2	FALSE
16	q24	82700000	88827254	5	FALSE
17	p13	0	10700000	5	FALSE
17	p12	10700000	15900000	2	FALSE
17	p11.2	15900000	22100000	5	FALSE
17	p11.1	22100000	22200000	6	TRUE
17	q11.1	22200000	22800000	6	TRUE
17	q11.2	22800000	28800000	5	FALSE
17	q12	28800000	35200000	3	FALSE
17	q21	35200000	47500000	5	FALSE
17	q22	47500000	50900000	2	FALSE
17	q23	50900000	59900000	5	FALSE
17	q24	59900000	68400000	3	FALSE
17	q25	68400000	78774742	5	FALSE
18	p11.3	0	7200000	5	FALSE
18	p11.2	7200000	15400000	5	FALSE
18	p11.1	15400000	16100000	6	TRUE
18	q11.1	16100000	17300000	6	TRUE
18	q11.2	17300000	23300000	5	FALSE
18	q12	23300000	41800000	1	FALSE
18	q21	41800000	59800000	5	FALSE
18	q22	59800000	71300000	1	FALSE
18	q23	71300000	76117153	5	FALSE
19	p13.3	0	6900000	5	FALSE
19	p13.2	6900000	12600000	4	FALSE
19	p13.1	12600000	19800000	5	FALSE
19	p12	19800000	26700000	7	FALSE
19	p11	26700000	28500000	6	TRUE
19	q11	28500000	30200000	6	TRUE
19	q12	30200000	37100000	7	FALSE
19	q13.1	37100000	43400000	5	FALSE
19	q13.2	43400000	48100000	4	FALSE
19	q13.3	48100000	56000000	5	FALSE
19	q13.4	56000000	63811651	4	FALSE
2	p25	0	12100000	5	FALSE
2	p24	12100000	24000000	2	FALSE
2	p23	24000000	32000000	5	FALSE
2	p22	32000000	41700000	2	FALSE
2	p21	41700000	47700000	5	FALSE
2	p16	47700000	61200000	1	FALSE
2	p15	61200000	64000000	5	FALSE
2	p14	64000000	68500000	3	FALSE
2	p13	68500000	75000000	5	FALSE
2	p12	75000000	83300000	1	FALSE
2	p11.2	83300000	91000000	5	FALSE
2	p11.1	91000000	93400000	6	TRUE
2	q11.1	93400000	95800000	6	TRUE
2	q11.2	95800000	102600000	5	FALSE
2	q12	102600000	108700000	3	FALSE
2	q13	108700000	113900000	5	FALSE
2	q14.1	113900000	118600000	3	FALSE
2	q14.2	118600000	122100000	5	FALSE
2	q14.3	122100000	129600000	3	FALSE
2	q21	129600000	137400000	5	FALSE
2	q22	137400000	148500000	1	FALSE
2	q23	148500000	154700000	5	FALSE
2	q24	154700000	169600000	2	FALSE
2	q31	169600000	182800000	5	FALSE
2	q32.1	182800000	189200000	2	FALSE
2	q32.2	189200000	191800000	5	FALSE
2	q32.3	191800000	197300000	2	FALSE
2	q33	197300000	208900000	5	FALSE
2	q34	208900000	215200000	1	FALSE
2	q35	215200000	221400000	5	FALSE
2	q36	221400000	230800000	2	FALSE
2	q37	230800000	243018229	5	FALSE
20	p13	0	5000000	5	FALSE
20	p12.3	5000000	17800000	2	FALSE
20	p11.2	17800000	25700000	5	FALSE
20	p11.1	25700000	27100000	6	TRUE
20	q11.1	27100000	28400000	6	TRUE
20	q11.2	28400000	37100000	5	FALSE
20	q12	37100000	41100000	2	FALSE
20	q13.1	41100000	49200000	5	FALSE
20	q13.2	49200000	53500000	2	FALSE
20	q13.3	53500000	62435964	5	FALSE
21	p13	0	2900000	10	FALSE
21	p12	2900000	6300000	9	FALSE
21	p11.2	6300000	10000000	8	FALSE
21	p11.1	10000000	12300000	6	TRUE
21	q11.1	12300000	13200000	6	TRUE
21	q11.2	13200000	15300000	5	FALSE
21	q21	15300000	30500000	1	FALSE
21	q22	30500000	46944323	5	FALSE
22	p13	0	3000000	10	FALSE
22	p12	3000000	6600000	9	FALSE
22	p11.2	6600000	9600000	8	FALSE
22	p11.1	9600000	11800000	6	TRUE
22	q11.1	11800000	16300000	6	TRUE
22	q11.2	16300000	24300000	5	FALSE
22	q12	24300000	35800000	3	FALSE
22	q13	35800000	49554710	5	FALSE
3	p26	0	8200000	3	FALSE
3	p25	8200000	16400000	5	FALSE
3	p24	16400000	32200000	1	FALSE
3	p23	32200000	35000000	5	FALSE
3	p22	35000000	43600000	3	FALSE
3	p21	43600000	54400000	5	FALSE
3	p14	54400000	69900000	3	FALSE
3	p13	69900000	74200000	5	FALSE
3	p12	74200000	87200000	2	FALSE
3	p11.1	87900000	91700000	6	TRUE
3	q11.1	91700000	93200000	6	TRUE
3	q11.2	93200000	99200000	7	FALSE
3	q12	99200000	104300000	5	FALSE
3	q13.1	104300000	112800000	2	FALSE
3	q13.2	112800000	115000000	5	FALSE
3	q13.3	115000000	123300000	2	FALSE
3	q21	123300000	132700000	5	FALSE
3	q22	132700000	140400000	4	FALSE
3	q23	140400000	144400000	5	FALSE
3	q24	144400000	150400000	1	FALSE
3	q25	150400000	162200000	5	FALSE
3	q26.1	162200000	169300000	1	FALSE
3	q26.2	169300000	172800000	5	FALSE
3	q26.3	172800000	184200000	2	FALSE
3	q27	184200000	189500000	5	FALSE
3	q28	189500000	194000000	2	FALSE
3	q29	194000000	199505740	5	FALSE
4	p16	0	11000000	5	FALSE
4	p15.3	11000000	22700000	3	FALSE
4	p15.2	22700000	27900000	5	FALSE
4	p15.1	27900000	35600000	1	FALSE
4	p14	35600000	41100000	5	FALSE
4	p13	41100000	45800000	3	FALSE
4	p12	45800000	48900000	5	FALSE
4	p11	48900000	50900000	6	TRUE
4	q11	50900000	53200000	6	TRUE
4	q12	53200000	59700000	5	FALSE
4	q13	59700000	76600000	1	FALSE
4	q21	76600000	88400000	5	FALSE
4	q22	88400000	99200000	2	FALSE
4	q23	99200000	101400000	5	FALSE
4	q24	101400000	108000000	3	FALSE
4	q25	108000000	114400000	5	FALSE
4	q26	114400000	121100000	2	FALSE
4	q27	121100000	124300000	5	FALSE
4	q28	124300000	139800000	3	FALSE
4	q31.1	139800000	141800000	5	FALSE
4	q31.2	141800000	152000000	4	FALSE
4	q31.3	152000000	155900000	5	FALSE
4	q32	155900000	170500000	1	FALSE
4	q33	170500000	172300000	5	FALSE
4	q34	172300000	183600000	2	FALSE
4	q35	183600000	191411218	5	FALSE
